"","FP","cat","subcat","offset","ESU","MFS","IMN","UPS","cat_ESU","cat_MFS","cat_IMN","cat_UPS","sum_cat"
"1","arc.sum.2","arc","sum",2,0.45453698,0.34957403,0.32032415,0.2884734188,NA,NA,1,NA,1
"2","arc.win.2","arc","win",2,0.45808215,0.4385982,0.22589237,-99,1,1,NA,NA,2
"3","arc.win.4","arc","win",4,0.38327538,0.30173659,0.10516856,0.3467172557,NA,NA,NA,1,1
"4","csl.Dpups.-3","csl","Dpups",-3,0.48070128,0.39413867,-99,0.2281422638,1,NA,NA,NA,1
"5","csl.Dpups.-4","csl","Dpups",-4,0.46232152,0.38831556,-99,0.2584548581,NA,NA,NA,1,1
"6","csl.Dpups.-5","csl","Dpups",-5,0.46489568,0.48633739,0.35311143,-99,NA,1,1,NA,2
"7","flow.gageht.3","flow","gageht",3,0.26802825,-99,0.32633198,0.1885169365,1,NA,NA,NA,1
"8","flow.mean.0","flow","mean",0,0.04836828,-99,0.23495221,0.2549390152,NA,NA,NA,1,1
"9","flow.peak.3","flow","peak",3,0.20618622,-99,0.32834812,0.1965791848,NA,NA,1,NA,1
"10","harv.NBC.5","harv","NBC",5,0.52340805,0.54159902,0.36165149,0.3448264844,NA,1,NA,NA,1
"11","harv.ORWAsport.5","harv","ORWAsport",5,0.4849896,0.44819558,0.47498538,0.524849763,NA,NA,1,1,2
"12","harv.stock.0","harv","stock",0,0.53067346,0.47391062,-99,-99,1,NA,NA,NA,1
"13","hatch.all.1","hatch","all",1,0.42214136,0.49963432,0.32673254,0.4321437657,NA,NA,NA,1,1
"14","hatch.spring.3","hatch","spring",3,0.5172338,0.47447735,0.350452,0.3059669485,1,NA,NA,NA,1
"15","hatch.total.3","hatch","total",3,0.49790752,0.47429954,0.36600808,0.2591050356,NA,NA,1,NA,1
"16","hatch.WA.1","hatch","WA",1,0.44941727,0.51283091,0.35290499,0.3301134792,NA,1,NA,NA,1
"17","hseal.COL.4","hseal","COL",4,0.47609804,0.32689837,0.26544618,0.2417855322,NA,NA,NA,1,1
"18","hseal.COL.5","hseal","COL",5,0.48859927,0.34918769,0.26831179,-99,1,1,1,NA,3
"19","npgo.spr.2","npgo","spr",2,0.49968505,0.46115994,0.29242556,0.420248067,NA,NA,NA,1,1
"20","npgo.sum.2","npgo","sum",2,0.47706762,0.46854281,0.28461426,0.3366800501,NA,1,NA,NA,1
"21","npgo.yravg.2","npgo","yravg",2,0.50266295,0.40587189,0.30792072,0.3591745438,1,NA,NA,NA,1
"22","npgo.yrsum.2","npgo","yrsum",2,0.49220555,0.44979191,0.31598516,0.3573748583,NA,NA,1,NA,1
"23","orca.DSEAK.5","orca","DSEAK",5,0.55894666,0.40167678,0.34828181,0.3203413118,1,1,NA,1,3
"24","orca.SRKWdeathsJKL.5","orca","SRKWdeathsJKL",5,0.4172128,0.3536171,0.35200829,0.1612041427,NA,NA,1,NA,1
"25","pdo.spr.2","pdo","spr",2,0.3901759,0.3727756,0.23406011,-99,NA,1,NA,NA,1
"26","pdo.spr.3","pdo","spr",3,0.4284161,0.3479298,0.11446159,0.2335138535,1,NA,NA,NA,1
"27","pdo.sum.2","pdo","sum",2,0.3611015,0.2985066,0.35262515,0.2397691775,NA,NA,1,1,2
"28","ssl.COL.2","ssl","COL",2,0.6736962,0.293148,0.47356033,0.3283828612,1,NA,1,NA,2
"29","ssl.COL.3","ssl","COL",3,0.6254746,0.3673325,0.34019722,0.4452425288,NA,1,NA,1,2
"30","upw.lusi.4","upw","lusi",4,0.4579665,0.4973506,0.25498024,0.2797060468,NA,1,NA,NA,1
"31","upw.lusi.5","upw","lusi",5,0.4699283,0.4844827,0.23569728,0.3091502198,1,NA,NA,NA,1
"32","upw.tdmi.4","upw","tdmi",4,0.4660473,0.4286801,0.23811315,0.3677585962,NA,NA,NA,1,1
"33","upw.tumi.2","upw","tumi",2,0.3991342,0.3486681,0.30223447,-99,NA,NA,1,NA,1
