"","FP","cat","subcat","offset","ESU","MFS","IMN","UPS","cat_ESU","cat_MFS","cat_IMN","cat_UPS","sum_cat"
"1","arc.fal.2","arc","fal",2,0.41973853,0.28079055,0.28899842,-99,NA,NA,1,NA,1
"2","arc.spr.2","arc","spr",2,0.45310502,0.36625443,0.24567098,-99,1,NA,NA,NA,1
"3","arc.win.2","arc","win",2,0.42105802,0.41341888,0.1851429,-99,NA,1,NA,NA,1
"4","arc.win.4","arc","win",4,0.37259288,0.27268662,-99,0.308869137,NA,NA,NA,1,1
"5","csl.Dpups.-4","csl","Dpups",-4,0.4485808,0.3327484,-99,-99,1,NA,NA,NA,1
"6","csl.Dpups.-5","csl","Dpups",-5,0.4483723,0.42598676,-99,-99,NA,1,NA,NA,1
"7","csl.haulout.4","csl","haulout",4,0.19632163,-99,-99,0.14328351,NA,NA,NA,1,1
"8","csl.pups.-5","csl","pups",-5,0.31250032,0.31419513,0.25868113,-99,NA,NA,1,NA,1
"9","flow.gageht.3","flow","gageht",3,0.24697404,-99,-99,-99,1,NA,NA,NA,1
"10","flow.mean.3","flow","mean",3,0.09145398,-99,0.15494536,0.204917719,NA,NA,NA,1,1
"11","flow.peak.3","flow","peak",3,0.16390669,-99,0.30783307,0.131645614,NA,NA,1,NA,1
"12","harv.NBC.4","harv","NBC",4,0.51217035,0.45480799,-99,-99,1,NA,NA,NA,1
"13","harv.NBC.5","harv","NBC",5,0.50003566,0.50811263,0.32956455,-99,NA,1,NA,NA,1
"14","harv.ORWA.4","harv","ORWA",4,0.38689186,0.30403254,0.39337832,0.40482852,NA,NA,1,NA,1
"15","harv.ORWAsport.5","harv","ORWAsport",5,0.46171236,0.43623995,-99,0.486997682,NA,NA,NA,1,1
"16","hatch.all.1","hatch","all",1,0.38408146,0.46223386,0.28818525,0.401949536,NA,NA,NA,1,1
"17","hatch.spring.3","hatch","spring",3,0.4808121,0.45052663,0.32148102,0.281780573,1,NA,NA,NA,1
"18","hatch.WA.1","hatch","WA",1,0.42116815,0.46364689,0.32947557,-99,NA,1,1,NA,2
"19","hseal.COL.4","hseal","COL",4,0.45956701,0.29919875,-99,-99,NA,1,NA,NA,1
"20","hseal.COL.5","hseal","COL",5,0.46157157,0.27134612,0.24650826,-99,1,NA,1,NA,2
"21","npgo.spr.2","npgo","spr",2,0.47339195,0.42673591,0.27466367,0.415344935,NA,NA,NA,1,1
"22","npgo.spr.3","npgo","spr",3,0.46412531,0.42799659,0.21130619,0.274208035,NA,1,NA,NA,1
"23","npgo.win.2","npgo","win",2,0.48911141,0.39900182,0.29567371,0.279727461,1,NA,NA,NA,1
"24","npgo.yravg.2","npgo","yravg",2,0.47452743,0.38823223,0.30570934,0.309016173,NA,NA,1,NA,1
"25","orca.DSEAK.5","orca","DSEAK",5,0.54421555,0.37233375,-99,0.2719976089,1,1,NA,1,3
"26","orca.SRKWdeathsJKL.5","orca","SRKWdeathsJKL",5,0.40664173,0.30357208,0.3344932,-99,NA,NA,1,NA,1
"27","pdo.spr.3","pdo","spr",3,0.41136373,0.32595441,0.06727846,-99,1,1,NA,NA,2
"28","pdo.sum.2","pdo","sum",2,0.33706308,0.27696599,0.34272579,0.1868183297,NA,NA,1,1,2
"29","ssl.COL.2","ssl","COL",2,0.62229764,-99,0.41105084,-99,1,NA,1,NA,2
"30","ssl.COL.3","ssl","COL",3,0.57618731,-99,0.25178829,0.3648057295,NA,NA,NA,1,1
"31","ssl.rookORraw.3","ssl","rookORraw",3,0.30757637,0.2258134,-99,-99,NA,1,NA,NA,1
"32","upw.lusi.2","upw","lusi",2,0.39413524,0.25705972,0.27143067,-99,NA,NA,1,NA,1
"33","upw.lusi.4","upw","lusi",4,0.42771386,0.47645317,0.22460461,0.2532663808,NA,1,NA,NA,1
"34","upw.lusi.5","upw","lusi",5,0.45554133,0.47389034,0.2214296,-99,1,NA,NA,NA,1
"35","upw.tdmi.4","upw","tdmi",4,0.44797301,0.40303473,0.21956059,0.35006844,NA,NA,NA,1,1
