"","FP","cat","subcat","offset","ESU","MFS","IMN","UPS","subcat_ESU","subcat_MFS","subcat_IMN","subcat_UPS","sum_subcat"
"1","arc.win.2","arc","win",2,0.42105802,0.41341888,0.1851429,-99,NA,1,NA,NA,1
"2","arc.win.4","arc","win",4,0.37259288,0.27268662,-99,0.308869137,NA,NA,NA,1,1
"3","csl.bonn.2","csl","bonn",2,0.29591663,0.25815423,-99,0.002519124,1,1,NA,NA,2
"4","csl.bonn.5","csl","bonn",5,0.2132248,0.19928859,-99,0.087191508,NA,NA,NA,1,1
"5","csl.Dmales.4","csl","Dmales",4,0.31021969,0.17679883,0.15325156,-99,NA,NA,1,NA,1
"6","csl.Dmales.5","csl","Dmales",5,0.38448478,0.25984841,-99,-99,1,1,NA,NA,2
"7","csl.Dmales6.5","csl","Dmales6",5,0.28491574,-99,0.21268163,-99,1,NA,1,NA,2
"8","csl.Dpups.-2","csl","Dpups",-2,0.39503758,0.26394535,0.24298973,0.133893437,NA,NA,1,NA,1
"9","csl.Dpups.-4","csl","Dpups",-4,0.4485808,0.3327484,-99,-99,1,NA,NA,NA,1
"10","csl.Dpups.-5","csl","Dpups",-5,0.4483723,0.42598676,-99,-99,NA,1,NA,NA,1
"11","csl.Dpups.0","csl","Dpups",0,0.33637628,0.26962566,-99,0.139399992,NA,NA,NA,1,1
"12","csl.haulout.2","csl","haulout",2,0.34000384,-99,-99,0.00823245,1,NA,NA,NA,1
"13","csl.haulout.4","csl","haulout",4,0.19632163,-99,-99,0.14328351,NA,NA,NA,1,1
"14","csl.males.3","csl","males",3,0.15035792,0.05360661,-99,-99,NA,1,NA,NA,1
"15","csl.males.5","csl","males",5,0.20640757,0.02755698,-99,-99,1,NA,NA,NA,1
"16","csl.males6.4","csl","males6",4,0.21483657,0.1130767,-99,-99,1,1,NA,NA,2
"17","csl.pups.-2","csl","pups",-2,0.32681867,0.22688873,0.18193788,-99,1,NA,NA,NA,1
"18","csl.pups.-5","csl","pups",-5,0.31250032,0.31419513,0.25868113,-99,NA,1,1,NA,2
"19","csl.pups.0","csl","pups",0,0.23356134,0.20113872,-99,0.058635231,NA,NA,NA,1,1
"20","flow.gageht.0","flow","gageht",0,0.22557715,-99,0.26953101,-99,NA,NA,1,NA,1
"21","flow.gageht.1","flow","gageht",1,-99,-99,0.24718413,0.14032184,NA,NA,NA,1,1
"22","flow.gageht.3","flow","gageht",3,0.24697404,-99,-99,-99,1,NA,NA,NA,1
"23","flow.mean.0","flow","mean",0,0.02619357,-99,0.19641272,-99,NA,NA,1,NA,1
"24","flow.mean.3","flow","mean",3,0.09145398,-99,0.15494536,0.204917719,1,NA,NA,1,2
"25","flow.peak.3","flow","peak",3,0.16390669,-99,0.30783307,0.131645614,1,NA,1,1,3
"26","flow.peakday.3","flow","peakday",3,0.14883058,-99,0.18456094,-99,1,NA,NA,NA,1
"27","flow.peakday.4","flow","peakday",4,0.0931608,-99,0.2053909,-99,NA,NA,1,NA,1
"28","harv.COL.5","harv","COL",5,0.35815824,0.35549624,0.26184299,-99,NA,1,NA,NA,1
"29","harv.CRsport.4","harv","CRsport",4,0.29462774,0.25626759,0.22650506,0.212013364,NA,NA,1,1,2
"30","harv.CRsport.5","harv","CRsport",5,0.38187614,0.27904807,0.21265075,-99,1,1,NA,NA,2
