"","FP","cat","subcat","offset","ESU","MFS","IMN","UPS","cat_ESU","cat_MFS","cat_IMN","cat_UPS","sum_cat"
"1","arc.win.2","arc","win",2,0.3364889,0.24440259,-99,-99,1,NA,NA,NA,1
"2","arc.win.5","arc","win",5,0.2598544,0.26812612,-99,-99,NA,1,NA,NA,1
"3","csl.Dpups.-1","csl","Dpups",-1,0.4817355,0.30283196,-99,0.061260512,1,NA,NA,NA,1
"4","csl.Dpups.0","csl","Dpups",0,0.4717567,0.23086027,-99,0.125689874,NA,NA,NA,1,1
"5","csl.males6.5","csl","males6",5,0.2697866,-99,0.05388928,-99,NA,NA,1,NA,1
"6","csl.pups.-5","csl","pups",-5,0.4518744,0.42856398,-99,-99,NA,1,NA,NA,1
"7","flow.gageht.0","flow","gageht",0,-99,0.29028505,-99,-99,NA,1,NA,NA,1
"8","flow.gageht.4","flow","gageht",4,-99,-99,0.15822234,-99,NA,NA,1,NA,1
"9","flow.mean.1","flow","mean",1,-99,-99,0.0537216,0.161999286,NA,NA,NA,1,1
"10","harv.COL.4","harv","COL",4,0.5071174,0.4818745,0.39634166,-99,NA,NA,1,NA,1
"11","harv.CRsport.4","harv","CRsport",4,0.5895198,0.57824406,-99,-99,1,1,NA,NA,2
"12","harv.PACtot.5","harv","PACtot",5,0.2434425,-99,-99,0.250134765,NA,NA,NA,1,1
"13","hatch.all.1","hatch","all",1,0.1979721,-99,0.23044311,-99,NA,NA,1,NA,1
"14","hatch.SNAK.3","hatch","SNAK",3,0.4938064,0.48401476,-99,-99,1,1,NA,NA,2
"15","hatch.total.1","hatch","total",1,0.280828,0.28376241,0.02010638,0.005902652,NA,NA,NA,1,1
"16","hseal.COL.2","hseal","COL",2,0.2553663,-99,-99,-99,1,NA,NA,NA,1
"17","hseal.COL.3","hseal","COL",3,0.2415145,-99,0.05432299,0.167191166,NA,NA,NA,1,1
"18","hseal.COL.5","hseal","COL",5,0.2106555,-99,0.15122964,0.070125876,NA,NA,1,NA,1
"19","npgo.spr.2","npgo","spr",2,0.3967233,0.43916671,-99,0.338109193,NA,NA,NA,1,1
"20","npgo.spr.3","npgo","spr",3,0.3746213,0.4549342,0.22554191,0.297254437,NA,1,NA,NA,1
"21","npgo.win.3","npgo","win",3,0.4314341,0.44496376,0.20001357,0.250574962,1,NA,NA,NA,1
"22","npgo.yrsum.3","npgo","yrsum",3,0.38893,0.40306141,0.23398384,0.297720383,NA,NA,1,NA,1
"23","orca.DNRKW.4","orca","DNRKW",4,0.4753632,0.43499638,-99,-99,1,NA,NA,NA,1
"24","orca.DSEAK.4","orca","DSEAK",4,0.4658775,0.53305908,-99,-99,NA,1,NA,NA,1
"25","orca.SRKWdeathsJKL.5","orca","SRKWdeathsJKL",5,0.3419764,0.17179578,-99,0.230351687,NA,NA,NA,1,1
"26","orca.SRKWpodJKL.4","orca","SRKWpodJKL",4,0.2872768,0.13497075,0.252997402,0.209601997,NA,NA,1,NA,1
"27","pdo.spr.2","pdo","spr",2,0.4023259,0.30230834,-99,-99,1,NA,NA,NA,1
"28","pdo.spr.4","pdo","spr",4,0.275527,0.25967198,0.179645081,-99,NA,NA,1,NA,1
"29","pdo.sum.2","pdo","sum",2,0.3678055,0.38429321,-99,-99,NA,1,NA,NA,1
"30","pdo.sum.5","pdo","sum",5,0.2312924,0.09789881,-99,0.131288511,NA,NA,NA,1,1
"31","ssl.COL.2","ssl","COL",2,0.5302858,0.47005619,-99,-99,1,1,NA,NA,2
"32","ssl.COL.4","ssl","COL",4,0.4991014,-99,-99,0.321967511,NA,NA,NA,1,1
"33","ssl.rookORraw.4","ssl","rookORraw",4,0.4004517,0.18382236,0.174293127,-99,NA,NA,1,NA,1
"34","upw.tdmi.4","upw","tdmi",4,0.4524209,0.48833447,0.283673301,0.272220535,NA,1,1,NA,2
"35","upw.tdmi.5","upw","tdmi",5,0.4673475,0.46710227,0.262629678,0.304851968,1,NA,NA,1,2
