"","FP","cat","subcat","offset","ESU","MFS","IMN","UPS","subcat_ESU","subcat_MFS","subcat_IMN","subcat_UPS","sum_subcat"
"1","csl.Dmales.2","csl","Dmales",2,0.3447809,0.14177775,-99,0.124235417,NA,NA,NA,1,1
"2","csl.Dmales.5","csl","Dmales",5,0.3489739,0.23510395,-99,-99,1,1,NA,NA,2
"3","csl.Dmales6.2","csl","Dmales6",2,0.443159,0.41177683,-99,-99,1,1,NA,NA,2
"4","csl.Dpups.-1","csl","Dpups",-1,0.4817355,0.30283196,-99,0.061260512,1,NA,NA,NA,1
"5","csl.Dpups.-2","csl","Dpups",-2,0.4322292,0.36726502,-99,-99,NA,1,NA,NA,1
"6","csl.Dpups.0","csl","Dpups",0,0.4717567,0.23086027,-99,0.125689874,NA,NA,NA,1,1
"7","csl.haulout.5","csl","haulout",5,0.4433768,0.32970588,-99,-99,1,1,NA,NA,2
"8","csl.males.5","csl","males",5,0.2567495,-99,-99,-99,1,NA,NA,NA,1
"9","csl.males6.2","csl","males6",2,0.4051917,0.29747258,-99,-99,1,1,NA,NA,2
"10","csl.males6.5","csl","males6",5,0.2697866,-99,0.05388928,-99,NA,NA,1,NA,1
"11","csl.pups.-5","csl","pups",-5,0.4518744,0.42856398,-99,-99,1,1,NA,NA,2
"12","flow.gageht.0","flow","gageht",0,-99,0.29028505,-99,-99,NA,1,NA,NA,1
"13","flow.gageht.4","flow","gageht",4,-99,-99,0.15822234,-99,NA,NA,1,NA,1
"14","flow.mean.0","flow","mean",0,-99,0.27824293,-99,-99,NA,1,NA,NA,1
"15","flow.mean.1","flow","mean",1,-99,-99,0.0537216,0.161999286,NA,NA,NA,1,1
"16","flow.mean.4","flow","mean",4,-99,-99,0.13059629,-99,NA,NA,1,NA,1
"17","flow.peak.2","flow","peak",2,-99,-99,0.10212744,-99,NA,NA,1,NA,1
"18","flow.peakday.5","flow","peakday",5,-99,-99,-99,0.125517749,NA,NA,NA,1,1
"19","harv.COL.4","harv","COL",4,0.5071174,0.4818745,0.39634166,-99,NA,1,1,NA,2
"20","harv.CRsport.4","harv","CRsport",4,0.5895198,0.57824406,-99,-99,1,1,NA,NA,2
"21","harv.NBC.4","harv","NBC",4,0.4209839,0.30298811,-99,0.24276371,1,1,NA,1,3
"22","harv.ORWA.4","harv","ORWA",4,0.3755772,0.25357231,-99,-99,1,1,NA,NA,2
"23","harv.ORWAsport.5","harv","ORWAsport",5,0.2826287,0.17352539,0.16143801,-99,1,1,1,NA,3
