"","FP","cat","subcat","offset","ESU","MFS","IMN","UPS","subcat_ESU","subcat_MFS","subcat_IMN","subcat_UPS","sum_subcat"
"24","harv.PACtot.5","harv","PACtot",5,0.2434425,-99,-99,0.250134765,1,NA,NA,1,2
"25","harv.SEAK.5","harv","SEAK",5,0.4306831,0.38818869,-99,-99,1,NA,NA,NA,1
"26","harv.stock.0","harv","stock",0,-99,0.41975608,-99,-99,NA,1,NA,NA,1
"27","harv.WCVI.5","harv","WCVI",5,0.1519395,-99,-99,-99,1,NA,NA,NA,1
"28","hatch.all.1","hatch","all",1,0.1979721,-99,0.23044311,-99,1,NA,1,NA,2
"29","hatch.BC.1","hatch","BC",1,0.2181916,0.04823541,0.12076102,-99,NA,1,1,NA,2
"30","hatch.BC.3","hatch","BC",3,0.257623,-99,-99,-99,1,NA,NA,NA,1
"31","hatch.CAOR.2","hatch","CAOR",2,0.1020422,-99,0.02456637,-99,NA,NA,1,NA,1
"32","hatch.CAOR.3","hatch","CAOR",3,0.1532721,-99,-99,-99,1,NA,NA,NA,1
"33","hatch.SAL.1","hatch","SAL",1,0.2173478,-99,-99,-99,1,NA,NA,NA,1
"34","hatch.SNAK.3","hatch","SNAK",3,0.4938064,0.48401476,-99,-99,1,1,NA,NA,2
"35","hatch.spring.1","hatch","spring",1,0.287519,0.2613783,0.03823731,-99,1,NA,NA,NA,1
"36","hatch.spring.2","hatch","spring",2,0.2776105,0.29083115,0.07036638,-99,NA,1,NA,NA,1
"37","hatch.spring.3","hatch","spring",3,0.2857287,0.2639439,0.17352598,-99,NA,NA,1,NA,1
"38","hatch.summer.3","hatch","summer",3,0.2247458,-99,-99,-99,1,NA,NA,NA,1
"39","hatch.total.1","hatch","total",1,0.280828,0.28376241,0.02010638,0.005902652,NA,1,NA,1,2
"40","hatch.total.2","hatch","total",2,0.2946514,0.23940469,0.03732752,-99,1,NA,NA,NA,1
"41","hatch.total.3","hatch","total",3,0.2811342,0.25340757,0.16661853,-99,NA,NA,1,NA,1
"42","hatch.WA.3","hatch","WA",3,0.3090283,0.24370846,-99,-99,1,1,NA,NA,2
"43","hatch.WAK.1","hatch","WAK",1,0.3397757,0.20570185,-99,-99,1,NA,NA,NA,1
"44","hatch.WAK.3","hatch","WAK",3,0.3245076,0.21776786,-99,-99,NA,1,NA,NA,1
"45","npgo.fal.2","npgo","fal",2,0.3706421,0.38057438,0.21571658,-99,1,NA,1,NA,2
"46","npgo.fal.3","npgo","fal",3,0.3375686,0.38984305,0.21083988,0.275450401,NA,1,NA,1,2
"47","npgo.spr.2","npgo","spr",2,0.3967233,0.43916671,-99,0.338109193,NA,NA,NA,1,1
"48","npgo.spr.3","npgo","spr",3,0.3746213,0.4549342,0.22554191,0.297254437,NA,1,1,NA,2
"49","npgo.spr.4","npgo","spr",4,0.4179097,0.40460555,0.21157796,0.214840081,1,NA,NA,NA,1
"50","npgo.sum.3","npgo","sum",3,0.3327351,0.39370576,0.15944825,0.268923092,NA,NA,1,1,2
"51","npgo.sum.4","npgo","sum",4,0.369324,0.40136394,0.14188202,0.142440244,1,1,NA,NA,2
"52","npgo.win.3","npgo","win",3,0.4314341,0.44496376,0.20001357,0.250574962,1,1,1,NA,3
"53","npgo.win.4","npgo","win",4,0.4084167,0.41393559,0.17032757,0.275926077,NA,NA,NA,1,1
"54","npgo.yravg.2","npgo","yravg",2,0.3977444,0.42646834,0.1998741,0.306312754,NA,NA,NA,1,1
"55","npgo.yravg.3","npgo","yravg",3,0.4023148,0.44437874,0.22834523,0.280360828,1,1,1,NA,3
"56","npgo.yrsum.2","npgo","yrsum",2,0.4019031,0.43424986,0.18839056,0.315908436,NA,1,NA,1,2
"57","npgo.yrsum.3","npgo","yrsum",3,0.38893,0.40306141,0.23398384,0.297720383,NA,NA,1,NA,1
"58","npgo.yrsum.4","npgo","yrsum",4,0.4027149,0.40751111,0.15529983,0.196624232,1,NA,NA,NA,1
"59","orca.DNRKW.4","orca","DNRKW",4,0.4753632,0.43499638,-99,-99,1,1,NA,NA,2
"60","orca.DSEAK.4","orca","DSEAK",4,0.4658775,0.53305908,-99,-99,NA,1,NA,NA,1
"61","orca.DSEAK.5","orca","DSEAK",5,0.4677483,0.45444956,-99,-99,1,NA,NA,NA,1
"62","orca.NRKW.5","orca","NRKW",5,0.2381488,-99,-99,-99,1,NA,NA,NA,1
"63","orca.SEAK.4","orca","SEAK",4,-99,0.38903362,-99,-99,NA,1,NA,NA,1
"64","orca.SRKWbirthsJKL.4","orca","SRKWbirthsJKL",4,0.2969317,0.27725048,0.120303486,-99,1,1,1,NA,3
"65","orca.SRKWbirthsJKL.5","orca","SRKWbirthsJKL",5,0.2705898,0.14531344,0.075976173,0.037523173,NA,NA,NA,1,1
"66","orca.SRKWdeathsJKL.4","orca","SRKWdeathsJKL",4,0.3351614,0.19625636,-99,0.179053543,NA,1,NA,NA,1
"67","orca.SRKWdeathsJKL.5","orca","SRKWdeathsJKL",5,0.3419764,0.17179578,-99,0.230351687,1,NA,NA,1,2
"68","orca.SRKWpodJ.5","orca","SRKWpodJ",5,0.2835144,-99,-99,-99,1,NA,NA,NA,1
"69","orca.SRKWpodJKL.4","orca","SRKWpodJKL",4,0.2872768,0.13497075,0.252997402,0.209601997,1,NA,1,1,3
"70","orca.SRKWpodJKL.5","orca","SRKWpodJKL",5,0.277728,0.13537576,-99,-99,NA,1,NA,NA,1
"71","orca.SRKWpodK.5","orca","SRKWpodK",5,0.3144792,0.25361799,-99,-99,1,1,NA,NA,2
"72","orca.SRKWpodKL.4","orca","SRKWpodKL",4,0.3502149,0.21590797,-99,-99,1,1,NA,NA,2
"73","orca.SRKWpodL.4","orca","SRKWpodL",4,0.3977483,0.2973552,-99,-99,1,1,NA,NA,2
"74","pdo.yr.3","pdo","yr",3,0.2535635,0.2584933,0.129459797,-99,NA,NA,1,NA,1
"75","ssl.bonn.2","ssl","bonn",2,0.409907,0.40686519,-99,-99,1,1,NA,NA,2
"76","ssl.COL.2","ssl","COL",2,0.5302858,0.47005619,-99,-99,1,NA,NA,NA,1
"77","ssl.COL.4","ssl","COL",4,0.4991014,-99,-99,0.321967511,NA,NA,NA,1,1
"78","ssl.rookORraw.2","ssl","rookORraw",2,0.4304261,0.20666193,-99,-99,1,1,NA,NA,2
"79","ssl.rookORraw.4","ssl","rookORraw",4,0.4004517,0.18382236,0.174293127,-99,NA,NA,1,NA,1
"80","ssl.rookORraw.5","ssl","rookORraw",5,0.3929389,0.07256556,0.122457702,0.152825763,NA,NA,NA,1,1
"81","upw.fti.3","upw","fti",3,0.2970091,0.34469525,-99,-99,1,1,NA,NA,2
"82","upw.lusi.5","upw","lusi",5,0.323602,0.3539677,-99,-99,1,1,NA,NA,2
"83","upw.sti.5","upw","sti",5,0.2650288,0.26589221,-99,-99,1,1,NA,NA,2
"84","upw.tdmi.4","upw","tdmi",4,0.4524209,0.48833447,0.283673301,0.272220535,NA,1,1,NA,2
"85","upw.tdmi.5","upw","tdmi",5,0.4673475,0.46710227,0.262629678,0.304851968,1,NA,NA,1,2
"86","upw.tumi.3","upw","tumi",3,0.2485801,0.18299831,0.124561747,-99,NA,NA,1,NA,1
"87","upw.tumi.4","upw","tumi",4,0.2762025,0.31669062,0.057184753,-99,NA,1,NA,NA,1
"88","upw.tumi.5","upw","tumi",5,0.2817072,0.3120744,-99,-99,1,NA,NA,NA,1
"89","upw.yr.3","upw","yr",3,0.3481666,0.39102656,-99,0.123086054,NA,1,NA,NA,1
"90","upw.yr.5","upw","yr",5,0.374085,0.37284659,-99,0.226454844,1,NA,NA,1,2
