"","FP","cat","subcat","offset","ESU","MFS","IMN","UPS","subcat_ESU","subcat_MFS","subcat_IMN","subcat_UPS","sum_subcat"
"27","hatch.SNAK.3","hatch","SNAK",3,0.47642287,0.4539994,-99,-99,1,NA,NA,NA,1
"28","hatch.spring.2","hatch","spring",2,0.2171511,0.27242747,-99,-99,NA,1,NA,NA,1
"29","hatch.spring.3","hatch","spring",3,0.27173836,-99,-99,-99,1,NA,NA,NA,1
"30","hatch.summer.3","hatch","summer",3,0.19333506,-99,-99,-99,1,NA,NA,NA,1
"31","hatch.total.2","hatch","total",2,0.27490273,-99,0.00371885,-99,1,NA,1,NA,2
"32","hatch.WAK.1","hatch","WAK",1,0.31889602,0.15839321,-99,-99,1,NA,NA,NA,1
"33","hatch.WAK.3","hatch","WAK",3,0.31037577,0.17372948,-99,-99,NA,1,NA,NA,1
"34","npgo.fal.2","npgo","fal",2,0.35887709,0.32357964,-99,-99,1,NA,NA,NA,1
"35","npgo.fal.3","npgo","fal",3,0.32318767,0.34399236,0.17630852,0.22873827,NA,1,1,1,3
"36","npgo.spr.2","npgo","spr",2,0.38540514,0.41649643,-99,-99,NA,1,NA,NA,1
"37","npgo.spr.4","npgo","spr",4,0.3942859,0.37567434,0.17779648,0.19325864,1,NA,1,1,3
"38","npgo.sum.3","npgo","sum",3,0.30397277,0.3725975,-99,0.26079803,NA,1,NA,1,2
"39","npgo.sum.4","npgo","sum",4,0.35530585,0.35753508,0.13479034,0.10582631,NA,NA,1,NA,1
"40","npgo.win.3","npgo","win",3,0.41460392,0.40511962,-99,-99,1,1,NA,NA,2
"41","npgo.win.4","npgo","win",4,0.39444648,0.40172385,0.13869338,-99,NA,NA,1,NA,1
"42","npgo.yravg.3","npgo","yravg",3,0.39051736,0.4137686,0.19501024,-99,1,1,1,NA,3
"43","npgo.yrsum.2","npgo","yrsum",2,0.39620905,0.41434445,-99,0.26997665,1,1,NA,1,3
"44","npgo.yrsum.3","npgo","yrsum",3,0.3590041,0.37798634,0.18401804,-99,NA,NA,1,NA,1
"45","orca.DNRKW.4","orca","DNRKW",4,0.45678142,0.33946838,-99,-99,1,NA,NA,NA,1
"46","orca.DNRKW.5","orca","DNRKW",5,0.41712759,0.36300462,-99,-99,NA,1,NA,NA,1
"47","orca.DSEAK.4","orca","DSEAK",4,0.44931846,0.45478056,-99,-99,1,1,NA,NA,2
"48","orca.NRKW.5","orca","NRKW",5,0.20294789,-99,-99,-99,1,NA,NA,NA,1
"49","orca.SRKWbirthsJKL.4","orca","SRKWbirthsJKL",4,0.28772492,0.2270759,0.08419822,-99,1,1,1,NA,3
"50","orca.SRKWdeathsJKL.5","orca","SRKWdeathsJKL",5,0.32687109,0.14777545,-99,0.19169074,1,1,NA,1,3
"51","orca.SRKWpodJKL.4","orca","SRKWpodJKL",4,0.25671451,0.03321435,-99,-99,1,NA,NA,NA,1
"52","orca.SRKWpodJKL.5","orca","SRKWpodJKL",5,0.25275838,0.09292656,-99,-99,NA,1,NA,NA,1
"53","orca.SRKWpodK.5","orca","SRKWpodK",5,0.30950294,-99,-99,-99,1,NA,NA,NA,1
"54","orca.SRKWpodKL.4","orca","SRKWpodKL",4,0.33823198,0.12269946,-99,-99,1,1,NA,NA,2
"55","orca.SRKWpodL.4","orca","SRKWpodL",4,0.3752574,-99,-99,-99,1,NA,NA,NA,1
"56","pdo.sum.2","pdo","sum",2,0.36323009,0.35562196,-99,-99,1,NA,NA,NA,1
"57","ssl.bonn.2","ssl","bonn",2,0.38772891,0.35419446,-99,-99,1,1,NA,NA,2
"58","ssl.COL.2","ssl","COL",2,0.51150921,-99,-99,-99,1,NA,NA,NA,1
"59","ssl.rookORraw.2","ssl","rookORraw",2,0.40404792,0.18717318,-99,-99,1,1,NA,NA,2
"60","ssl.rookORraw.5","ssl","rookORraw",5,0.36628916,-99,0.0570459,-99,NA,NA,1,NA,1
"61","upw.fti.3","upw","fti",3,0.27953072,0.30674818,-99,-99,1,1,NA,NA,2
"62","upw.lusi.5","upw","lusi",5,0.31118078,0.32969163,-99,-99,1,1,NA,NA,2
"63","upw.sti.2","upw","sti",2,0.22530632,-99,-99,-99,1,NA,NA,NA,1
"64","upw.sti.4","upw","sti",4,0.21351177,0.20560954,-99,-99,NA,1,NA,NA,1
"65","upw.tdmi.4","upw","tdmi",4,0.42054629,0.44529363,0.24824526,-99,NA,1,1,NA,2
"66","upw.tdmi.5","upw","tdmi",5,0.45111702,0.40132776,-99,-99,1,NA,NA,NA,1
"67","upw.tumi.3","upw","tumi",3,0.22631743,-99,0.10171952,-99,NA,NA,1,NA,1
"68","upw.tumi.5","upw","tumi",5,0.27006708,0.27959427,-99,-99,1,1,NA,NA,2
"69","upw.yr.3","upw","yr",3,0.33701555,0.37441277,-99,-99,NA,1,NA,NA,1
"70","upw.yr.5","upw","yr",5,0.35777823,0.34255333,-99,-99,1,NA,NA,NA,1
