FP,cat,subcat,offset,ESU_rec4n,Middle Fork Salmon_rec4n,Imnaha_rec4n,Upper Salmon_rec4n,ESU_rec5n,Middle Fork Salmon_rec5n,Imnaha_rec5n,Upper Salmon_rec5n
orca.NRKW.5,orca,NRKW,5,0.2381488,NA,NA,NA,0.31136307,0.31801326,NA,NA
orca.SEAK.4,orca,SEAK,4,NA,0.38903362,NA,NA,0.3736497,0.2855385,0.16911204,NA
orca.SEAK.5,orca,SEAK,5,NA,NA,NA,NA,0.385616,0.2650026,0.09054357,NA
orca.SRKWbirthsJKL.4,orca,SRKWbirthsJKL,4,0.2969317,0.27725048,0.120303486,NA,0.3541717,0.3491385,0.16960124,0.2413538656
orca.SRKWbirthsJKL.5,orca,SRKWbirthsJKL,5,0.2705898,0.14531344,0.075976173,0.037523173,0.3222991,0.3611105,0.1769314,0.2007889927
orca.SRKWdeathsJKL.4,orca,SRKWdeathsJKL,4,0.3351614,0.19625636,NA,0.179053543,0.4426992,0.3768629,0.3164571,0.2992561441
orca.SRKWdeathsJKL.5,orca,SRKWdeathsJKL,5,0.3419764,0.17179578,NA,0.230351687,0.4172128,0.3536171,0.35200829,0.1612041427
orca.SRKWpodJ.4,orca,SRKWpodJ,4,NA,NA,NA,NA,0.1868805,0.1730209,0.02211643,NA
orca.SRKWpodJ.5,orca,SRKWpodJ,5,0.2835144,NA,NA,NA,0.2223988,0.1552279,NA,NA
orca.SRKWpodJKL.4,orca,SRKWpodJKL,4,0.2872768,0.13497075,0.252997402,0.209601997,0.2625124,0.3049047,0.19304998,NA
orca.SRKWpodJKL.5,orca,SRKWpodJKL,5,0.277728,0.13537576,NA,NA,0.2509563,0.2602352,NA,0.1472908419
orca.SRKWpodK.4,orca,SRKWpodK,4,NA,NA,NA,NA,0.2411269,0.2347488,0.11700846,0.0424150555
orca.SRKWpodK.5,orca,SRKWpodK,5,0.3144792,0.25361799,NA,NA,0.3218826,0.283127,0.24627265,0.1187203698
orca.SRKWpodKL.4,orca,SRKWpodKL,4,0.3502149,0.21590797,NA,NA,0.2503919,0.338368,0.01036478,NA
orca.SRKWpodKL.5,orca,SRKWpodKL,5,0.3009906,0.126252,NA,NA,0.2266846,0.2938523,NA,NA
orca.SRKWpodL.4,orca,SRKWpodL,4,0.3977483,0.2973552,NA,NA,0.2332918,0.3030206,0.03873415,NA
orca.SRKWpodL.5,orca,SRKWpodL,5,0.3046481,NA,NA,NA,0.2146309,0.286277,NA,NA
pdo.fal.2,pdo,fal,2,0.2679956,0.31745531,0.113737982,NA,0.3745253,0.334364,0.34961852,0.1188049999
pdo.fal.3,pdo,fal,3,0.1898755,0.22445538,0.02234348,NA,0.3653826,0.3021996,0.28253827,0.082567597
pdo.fal.4,pdo,fal,4,0.2130954,0.17725058,NA,NA,0.3233091,0.2456339,0.23427029,0.0118035562
pdo.fal.5,pdo,fal,5,0.2189343,0.10702227,NA,0.05494681,0.3127663,0.2135437,0.12798078,0.0946110761
pdo.spr.2,pdo,spr,2,0.4023259,0.30230834,NA,NA,0.3901759,0.3727756,0.23406011,NA
pdo.spr.3,pdo,spr,3,0.2845877,0.27047206,NA,NA,0.4284161,0.3479298,0.11446159,0.2335138535
pdo.spr.4,pdo,spr,4,0.275527,0.25967198,0.179645081,NA,0.3873381,0.3130116,0.12551326,0.1847585781
pdo.spr.5,pdo,spr,5,0.2570266,0.24711978,NA,NA,0.3143421,0.2687034,0.02542847,0.159373537
pdo.sum.2,pdo,sum,2,0.3678055,0.38429321,NA,NA,0.3611015,0.2985066,0.35262515,0.2397691775
pdo.sum.3,pdo,sum,3,0.2418316,0.2742029,NA,NA,0.3946673,0.3441896,0.26570998,NA
pdo.sum.4,pdo,sum,4,0.2508984,0.22075638,NA,NA,0.3687971,0.2476728,0.22770038,NA
pdo.sum.5,pdo,sum,5,0.2312924,0.09789881,NA,0.131288511,0.3561923,0.263732,0.12746758,0.1258700762
pdo.win.2,pdo,win,2,0.2790078,0.18638307,NA,NA,0.3219993,0.3487117,0.15527248,0.0947943806
pdo.win.3,pdo,win,3,0.2025443,0.16640418,0.081611731,NA,0.3233627,0.2729934,0.14521808,0.1069998763
pdo.win.4,pdo,win,4,0.1532625,0.11151881,NA,NA,0.3138441,0.2835011,0.11978868,0.1692103185
pdo.win.5,pdo,win,5,0.1737337,0.14061198,NA,NA,0.2628732,0.2096659,0.10133939,NA
pdo.yr.2,pdo,yr,2,0.3679258,0.36539464,NA,NA,0.3546868,0.2848637,0.29013035,0.2098054121
pdo.yr.3,pdo,yr,3,0.2535635,0.2584933,0.129459797,NA,0.36212,0.277941,0.20293256,0.1214423804
pdo.yr.4,pdo,yr,4,0.2382782,0.23025008,0.066013789,NA,0.3254086,0.2060693,0.13513769,0.0462661098
pdo.yr.5,pdo,yr,5,0.2190735,0.08715737,NA,NA,0.2756327,0.1740942,0.04502407,NA
ssl.bonn.2,ssl,bonn,2,0.409907,0.40686519,NA,NA,0.1469604,0.1198098,NA,NA
ssl.bonn.3,ssl,bonn,3,0.3875259,0.33567751,NA,NA,0.1718925,0.1817934,0.10751391,NA
ssl.bonn.4,ssl,bonn,4,0.3602318,0.25607613,NA,NA,0.1936886,0.1214545,0.14257698,NA
ssl.bonn.5,ssl,bonn,5,0.3568428,0.21879327,NA,NA,0.2318957,0.2423341,0.09228647,NA
ssl.COL.2,ssl,COL,2,0.5302858,0.47005619,NA,NA,0.6736962,0.293148,0.47356033,0.3283828612
ssl.COL.3,ssl,COL,3,0.5300011,NA,NA,NA,0.6254746,0.3673325,0.34019722,0.4452425288
ssl.COL.4,ssl,COL,4,0.4991014,NA,NA,0.321967511,0.576521,0.286862,0.22316975,0.35455639
ssl.COL.5,ssl,COL,5,0.4586195,NA,NA,NA,0.5676054,0.2560851,0.21436526,0.2998344958
ssl.rookORraw.2,ssl,rookORraw,2,0.4304261,0.20666193,NA,NA,0.3130021,0.2557867,0.35749569,0.1262097682
ssl.rookORraw.3,ssl,rookORraw,3,0.3823049,0.16731831,0.144790884,0.130112903,0.3450439,0.2683706,0.31075276,NA
ssl.rookORraw.4,ssl,rookORraw,4,0.4004517,0.18382236,0.174293127,NA,0.246804,0.1855973,0.26566505,0.1231626058
ssl.rookORraw.5,ssl,rookORraw,5,0.3929389,0.07256556,0.122457702,0.152825763,0.1981647,0.1211755,0.36113834,NA
upw.fal.2,upw,fal,2,0.2388828,0.18984675,0.115777513,NA,0.3156707,0.3321563,0.18187814,0.1270449348
upw.fal.3,upw,fal,3,0.1846498,0.13007494,NA,NA,0.2976144,0.3887809,0.11253623,0.1809045115
upw.fal.4,upw,fal,4,0.2125854,0.16399013,0.076199251,NA,0.2816059,0.41899,0.09777023,0.2024508699
upw.fal.5,upw,fal,5,0.2763864,0.2188443,0.092778856,NA,0.3253855,0.360077,0.08396856,0.2988783349
upw.fti.2,upw,fti,2,0.2869229,0.30690261,NA,NA,0.4222162,0.3055832,0.26520473,0.2118087468
upw.fti.3,upw,fti,3,0.2970091,0.34469525,NA,NA,0.3595796,0.3305329,0.1750219,0.191525079
upw.fti.4,upw,fti,4,0.2353681,0.3011231,NA,NA,0.3569741,0.3298922,0.17781577,0.2315040987
upw.fti.5,upw,fti,5,0.1992488,0.25681191,NA,NA,0.3310047,0.3136268,0.22396885,0.1028597743
upw.lusi.2,upw,lusi,2,0.2870223,0.31748811,NA,NA,0.4073231,0.2927643,0.27728676,NA
upw.lusi.3,upw,lusi,3,0.2820659,0.25829914,NA,NA,0.4110591,0.4532257,0.23703592,NA
upw.lusi.4,upw,lusi,4,0.3130899,0.34036222,NA,NA,0.4579665,0.4973506,0.25498024,0.2797060468
upw.lusi.5,upw,lusi,5,0.323602,0.3539677,NA,NA,0.4699283,0.4844827,0.23569728,0.3091502198
upw.spr.2,upw,spr,2,0.2285957,0.21084522,NA,NA,0.3336646,0.2372696,NA,NA
upw.spr.3,upw,spr,3,0.2770782,0.22426831,NA,0.124837341,0.3563885,0.3413025,NA,NA
upw.spr.4,upw,spr,4,0.3098977,0.27511308,NA,NA,0.321769,0.3716014,NA,NA
upw.spr.5,upw,spr,5,0.3325034,0.28148066,NA,NA,0.3416639,0.3003689,NA,0.2699366291
upw.sti.2,upw,sti,2,0.2640464,NA,NA,NA,0.3832797,0.3919217,0.27550937,NA
