FP,cat,subcat,offset,ESU_rec4n,Middle Fork Salmon_rec4n,Imnaha_rec4n,Upper Salmon_rec4n,ESU_rec5n,Middle Fork Salmon_rec5n,Imnaha_rec5n,Upper Salmon_rec5n
harv.ORWAsport.5,harv,ORWAsport,5,0.2826287,0.17352539,0.16143801,NA,0.4849896,0.44819558,0.47498538,0.524849763
harv.PACtot.4,harv,PACtot,4,0.2427107,NA,NA,NA,0.44721646,0.36425989,0.34802474,0.3734813448
harv.PACtot.5,harv,PACtot,5,0.2434425,NA,NA,0.250134765,0.43902778,0.35663698,0.41609494,0.4767133261
harv.SEAK.4,harv,SEAK,4,0.4263943,0.33611963,NA,NA,0.44700195,0.44823199,0.19598616,0.3334432853
harv.SEAK.5,harv,SEAK,5,0.4306831,0.38818869,NA,NA,0.49269426,0.42681008,0.24361069,0.4342681864
harv.stock.0,harv,stock,0,NA,0.41975608,NA,NA,0.53067346,0.47391062,NA,NA
harv.WCVI.4,harv,WCVI,4,0.1182036,NA,NA,NA,0.33718567,0.35651994,NA,0.2979997065
harv.WCVI.5,harv,WCVI,5,0.1519395,NA,NA,NA,0.38216177,0.39200902,NA,0.307761625
hatch.all.1,hatch,all,1,0.1979721,NA,0.23044311,NA,0.42214136,0.49963432,0.32673254,0.4321437657
hatch.all.2,hatch,all,2,NA,NA,NA,NA,0.4008604,0.44684186,0.20813928,0.3911892087
hatch.all.3,hatch,all,3,NA,NA,NA,NA,0.4011236,0.43828394,0.16860737,0.3977366313
hatch.BC.1,hatch,BC,1,0.2181916,0.04823541,0.12076102,NA,0.4026595,0.44649998,0.36168465,0.3330546086
hatch.BC.2,hatch,BC,2,0.1959032,NA,NA,NA,0.38523968,0.46427696,0.34445084,0.3112844243
hatch.BC.3,hatch,BC,3,0.257623,NA,NA,NA,0.40081274,0.40724613,0.30113546,NA
hatch.CAOR.1,hatch,CAOR,1,0.0632133,NA,NA,NA,0.29120517,0.37368863,NA,0.241535424
hatch.CAOR.2,hatch,CAOR,2,0.1020422,NA,0.02456637,NA,0.35332804,0.42679791,NA,0.2897620437
hatch.CAOR.3,hatch,CAOR,3,0.1532721,NA,NA,NA,0.38898092,0.41928827,NA,NA
hatch.COL.1,hatch,COL,1,NA,NA,NA,NA,0.33007085,0.32031852,0.17228263,NA
hatch.COL.2,hatch,COL,2,NA,NA,NA,NA,0.34803265,0.31739171,0.11659224,0.2149348392
hatch.COL.3,hatch,COL,3,NA,0.25584218,NA,NA,0.33840393,0.38325389,0.11800448,0.2715264966
hatch.SAL.1,hatch,SAL,1,0.2173478,NA,NA,NA,0.30376603,0.38988439,0.05568387,0.2318860492
hatch.SAL.2,hatch,SAL,2,NA,NA,NA,NA,0.25956813,0.30886433,NA,0.216497535
hatch.SAL.3,hatch,SAL,3,NA,NA,NA,NA,0.27242138,0.27781146,NA,0.2609107846
hatch.SEAK.1,hatch,SEAK,1,0.2266104,NA,NA,NA,0.22972112,0.28305039,NA,0.0005853594
hatch.SEAK.2,hatch,SEAK,2,0.2039872,NA,NA,NA,0.29791611,0.25989403,NA,0.0573559512
hatch.SEAK.3,hatch,SEAK,3,0.1699523,NA,NA,NA,0.31295184,0.31223178,NA,0.0622364631
hatch.SNAK.1,hatch,SNAK,1,0.4260065,0.40926975,NA,NA,0.24457933,0.25291435,0.09539697,NA
hatch.SNAK.2,hatch,SNAK,2,NA,0.47442277,NA,NA,0.28027285,0.27986353,0.20211031,NA
hatch.SNAK.3,hatch,SNAK,3,0.4938064,0.48401476,NA,NA,0.33376399,0.28274319,0.26699334,0.1925930875
hatch.spring.1,hatch,spring,1,0.287519,0.2613783,0.03823731,NA,0.39385249,0.41176207,0.25829439,0.1881282479
hatch.spring.2,hatch,spring,2,0.2776105,0.29083115,0.07036638,NA,0.4515195,0.46489771,0.31808273,0.1756532143
