FP,cat,subcat,offset,ESU_rec4n,Middle Fork Salmon_rec4n,Imnaha_rec4n,Upper Salmon_rec4n,ESU_rec5n,Middle Fork Salmon_rec5n,Imnaha_rec5n,Upper Salmon_rec5n
arc.fal.2,arc,fal,2,0.23701847,0.20031112,NA,NA,0.41973853,0.28079055,0.28899842,NA
arc.fal.3,arc,fal,3,0.21897617,0.18940821,NA,NA,0.3490473,0.248289,NA,0.219416078
arc.fal.4,arc,fal,4,0.22640597,0.18973736,NA,NA,0.27655817,0.1535356,NA,0.160871105
arc.fal.5,arc,fal,5,0.21932811,0.19606779,NA,NA,0.32531303,0.23809484,NA,NA
arc.spr.2,arc,spr,2,0.35106056,0.26714645,NA,NA,0.45310502,0.36625443,0.24567098,NA
arc.spr.3,arc,spr,3,0.2680832,0.20975012,NA,NA,0.41791993,0.31722152,0.19877979,NA
arc.spr.4,arc,spr,4,0.30388832,0.29079104,NA,NA,0.38896092,0.27149215,NA,NA
arc.spr.5,arc,spr,5,0.26323295,0.25152993,NA,NA,0.35047217,0.27180271,NA,NA
arc.sum.2,arc,sum,2,0.21936113,0.15118328,NA,NA,0.44041722,0.31787581,0.2711145,0.256291466
arc.sum.3,arc,sum,3,0.19490459,0.15495281,NA,NA,0.4058436,0.26237501,NA,NA
arc.sum.4,arc,sum,4,0.24974411,0.20876663,NA,NA,0.36928639,0.26375865,0.23062985,0.152072717
arc.sum.5,arc,sum,5,0.24665394,0.16958435,NA,NA,0.31802457,0.20162689,NA,0.229527714
arc.win.2,arc,win,2,0.3148715,0.19977319,NA,NA,0.42105802,0.41341888,0.1851429,NA
arc.win.3,arc,win,3,0.26610781,0.19515009,NA,NA,0.39538553,0.30082791,NA,0.227825189
arc.win.4,arc,win,4,0.24136812,0.17724761,NA,NA,0.37259288,0.27268662,NA,0.308869137
arc.win.5,arc,win,5,0.24166215,0.21853826,NA,NA,0.32227459,0.25542016,NA,NA
csl.bonn.2,csl,bonn,2,NA,NA,NA,NA,0.29591663,0.25815423,NA,0.002519124
csl.bonn.3,csl,bonn,3,0.36159197,NA,NA,NA,0.26665283,0.25150651,NA,NA
csl.bonn.4,csl,bonn,4,0.34680328,NA,NA,NA,0.20604976,0.23719199,NA,0.073602512
csl.bonn.5,csl,bonn,5,0.35541433,NA,NA,NA,0.2132248,0.19928859,NA,0.087191508
csl.COL.2,csl,COL,2,0.31743655,0.21845954,NA,NA,0.25912763,0.25934552,NA,NA
csl.COL.3,csl,COL,3,0.40758742,NA,NA,NA,NA,0.19781495,NA,NA
csl.COL.4,csl,COL,4,0.42792813,0.33208005,NA,NA,0.12776563,0.05692751,NA,NA
csl.COL.5,csl,COL,5,0.36756777,NA,NA,NA,0.1530381,NA,NA,NA
csl.Dmales.2,csl,Dmales,2,0.28357959,0.0516058,NA,NA,0.27568036,0.16623187,NA,NA
csl.Dmales.3,csl,Dmales,3,0.16739702,NA,NA,NA,0.29333579,0.24785647,NA,NA
csl.Dmales.4,csl,Dmales,4,0.24704184,0.11647673,NA,NA,0.31021969,0.17679883,0.15325156,NA
csl.Dmales.5,csl,Dmales,5,0.30277615,0.12877153,NA,NA,0.38448478,0.25984841,NA,NA
csl.Dmales6.2,csl,Dmales6,2,0.4214263,0.35980372,NA,NA,0.13693433,NA,0.06254657,NA
csl.Dmales6.3,csl,Dmales6,3,0.41295669,0.18277334,NA,NA,0.16189538,NA,0.10805065,NA
csl.Dmales6.4,csl,Dmales6,4,0.32445774,0.0865046,NA,NA,0.26020554,NA,0.09208941,NA
csl.Dmales6.5,csl,Dmales6,5,0.30090817,NA,NA,NA,0.28491574,NA,0.21268163,NA
csl.Dpups.-1,csl,Dpups,-1,0.45663075,0.25958757,NA,NA,0.35360212,NA,NA,NA
csl.Dpups.-2,csl,Dpups,-2,0.41124965,0.34885665,NA,NA,0.39503758,0.26394535,0.24298973,0.133893437
csl.Dpups.-3,csl,Dpups,-3,0.33146804,0.16050781,NA,NA,0.44304889,0.34154074,NA,NA
csl.Dpups.-4,csl,Dpups,-4,0.36751143,0.23145679,NA,NA,0.4485808,0.3327484,NA,NA
csl.Dpups.-5,csl,Dpups,-5,0.33126883,0.24145945,NA,NA,0.4483723,0.42598676,NA,NA
csl.Dpups.0,csl,Dpups,0,0.46373008,0.15420617,NA,0.08177866,0.33637628,0.26962566,NA,0.139399992
csl.haulout.2,csl,haulout,2,0.34963198,NA,NA,NA,0.34000384,NA,NA,0.00823245
csl.haulout.3,csl,haulout,3,0.3202691,0.01396152,NA,NA,0.33715065,NA,NA,NA
csl.haulout.4,csl,haulout,4,0.30402109,0.22956602,NA,NA,0.19632163,NA,NA,0.14328351
csl.haulout.5,csl,haulout,5,0.40462347,0.18856033,NA,NA,0.13296308,NA,NA,NA
csl.males.2,csl,males,2,NA,NA,NA,NA,0.12503788,NA,NA,NA
csl.males.3,csl,males,3,NA,NA,NA,NA,0.15035792,0.05360661,NA,NA
csl.males.4,csl,males,4,NA,NA,NA,NA,0.19204903,0.0408993,NA,NA
csl.males.5,csl,males,5,0.22736999,NA,NA,NA,0.20640757,0.02755698,NA,NA
csl.males6.2,csl,males6,2,NA,0.26075112,NA,NA,0.10552736,0.10909542,NA,NA
