"","FP","cat","subcat","offset","ESU","MFS","IMN","UPS","subcat_ESU","subcat_MFS","subcat_IMN","subcat_UPS","sum_subcat"
"80","orca.SRKWpodKL.4","orca","SRKWpodKL",4,0.2503919,0.338368,0.01036478,-99,1,1,1,NA,3
"81","orca.SRKWpodL.4","orca","SRKWpodL",4,0.2332918,0.3030206,0.03873415,-99,1,1,1,NA,3
"82","pdo.fal.2","pdo","fal",2,0.3745253,0.334364,0.34961852,0.1188049999,NA,NA,1,NA,1
"83","pdo.sum.2","pdo","sum",2,0.3611015,0.2985066,0.35262515,0.2397691775,NA,NA,1,NA,1
"84","pdo.yr.2","pdo","yr",2,0.3546868,0.2848637,0.29013035,0.2098054121,NA,NA,1,NA,1
"85","pdo.yr.3","pdo","yr",3,0.36212,0.277941,0.20293256,0.1214423804,1,NA,NA,NA,1
"86","ssl.bonn.4","ssl","bonn",4,0.1936886,0.1214545,0.14257698,-99,NA,NA,1,NA,1
"87","ssl.COL.2","ssl","COL",2,0.6736962,0.293148,0.47356033,0.3283828612,1,NA,1,NA,2
"88","ssl.COL.3","ssl","COL",3,0.6254746,0.3673325,0.34019722,0.4452425288,NA,NA,NA,1,1
"89","ssl.rookORraw.2","ssl","rookORraw",2,0.3130021,0.2557867,0.35749569,0.1262097682,NA,NA,NA,1,1
"90","ssl.rookORraw.3","ssl","rookORraw",3,0.3450439,0.2683706,0.31075276,-99,1,1,NA,NA,2
"91","ssl.rookORraw.5","ssl","rookORraw",5,0.1981647,0.1211755,0.36113834,-99,NA,NA,1,NA,1
"92","upw.fal.4","upw","fal",4,0.2816059,0.41899,0.09777023,0.2024508699,NA,1,NA,NA,1
"93","upw.fti.2","upw","fti",2,0.4222162,0.3055832,0.26520473,0.2118087468,1,NA,1,NA,2
"94","upw.fti.3","upw","fti",3,0.3595796,0.3305329,0.1750219,0.191525079,NA,1,NA,NA,1
"95","upw.fti.4","upw","fti",4,0.3569741,0.3298922,0.17781577,0.2315040987,NA,NA,NA,1,1
"96","upw.lusi.2","upw","lusi",2,0.4073231,0.2927643,0.27728676,-99,NA,NA,1,NA,1
"97","upw.lusi.4","upw","lusi",4,0.4579665,0.4973506,0.25498024,0.2797060468,NA,1,NA,NA,1
"98","upw.lusi.5","upw","lusi",5,0.4699283,0.4844827,0.23569728,0.3091502198,1,NA,NA,1,2
"99","upw.sti.2","upw","sti",2,0.3832797,0.3919217,0.27550937,-99,NA,NA,1,NA,1
"100","upw.sti.3","upw","sti",3,0.3947708,0.4380931,0.12840809,-99,NA,1,NA,NA,1
"101","upw.sti.4","upw","sti",4,0.4240606,0.3869128,-99,0.2696889645,1,NA,NA,NA,1
"102","upw.sti.5","upw","sti",5,0.4054009,0.4074146,-99,0.2820879911,NA,NA,NA,1,1
"103","upw.tdmi.4","upw","tdmi",4,0.4660473,0.4286801,0.23811315,0.3677585962,1,1,1,1,4
"104","upw.tumi.2","upw","tumi",2,0.3991342,0.3486681,0.30223447,-99,1,NA,1,NA,2
"105","upw.tumi.4","upw","tumi",4,0.3792014,0.3888683,0.29516946,0.192130366,NA,1,NA,1,2
"106","upw.yr.3","upw","yr",3,0.3571005,0.3756315,0.16288168,0.1568462786,NA,1,NA,NA,1
"107","upw.yr.5","upw","yr",5,0.3539797,0.3425255,0.17292371,0.2946793677,NA,NA,NA,1,1
