"t","dC1dR","dC1dC1","dC1dC2","dC1dP1"
1,0.0816886351631417,1.09196229703618,-0.0284449936210685,-0.0868197519498662
2,0.0913477947489643,0.74817254784356,-0.0215957624492962,-0.0560110853618175
3,0.144431116924678,0.574474996015867,-0.0149085771902969,-0.046708933719581
4,0.0838854127431342,0.783317095306083,-0.0713776993136576,-0.0239800134483392
5,0.00975068067997693,1.86102367235014,-0.0222419382109982,-0.127465925003723
6,0.0120635611587966,1.86913131486814,-0.0148555734914727,-0.1189370090845
7,0.01073081151972,1.87163657463642,-0.0154804537635084,-0.122209415740768
8,0.00949182563524595,1.87221878377052,-0.0162007984509766,-0.141583529694016
9,0.0138198325156156,1.87402131190117,-0.0149343983071248,-0.169815717424178
10,0.02401564162093,1.88439169914823,-0.0181090092175377,-0.196381368010391
11,0.0431366142735874,1.8947301088228,-0.0308392183862266,-0.274768217640614
12,0.0337026931241001,1.84889649608047,-0.0724934163344741,-0.524536409876246
13,0.27289190755085,1.69190490730678,-0.140137451077464,-0.859636156240456
14,1.23701772554795,0.725706834261799,-0.585123954319827,-0.832879233894941
15,1.50816944800024,0.182966308302797,-0.456114950750977,-0.585388194867904
16,1.8746826862063,0.427387672245354,-0.149506280640158,-0.438262387931236
17,1.5195992996495,0.365386599352976,-0.0358382679606347,-0.273456291865094
18,0.820200628392148,0.267462096861272,-0.30940799520264,-0.392137651645778
19,0.0682269974897875,1.79961030135997,-0.0874312767179781,-0.535951026596905
20,0.190624495615711,1.73006496308065,-0.11910270117806,-0.814632519085185
21,1.02288057006522,1.01983405779524,-0.392746689479289,-0.891078092571356
22,1.53157376365206,0.139519998231755,-0.5197652241561,-0.573128294755106
23,1.75624884579201,0.396720859320931,-0.147341306622691,-0.461963705389318
24,1.71200100580187,0.394478487640308,-0.0135836998767065,-0.290569038641736
25,0.828251492008349,0.262286591786836,-0.292446632492688,-0.333460982367604
26,0.0847634405713514,1.76476368951991,-0.0866963944471642,-0.465799385299153
27,0.0883469704382791,1.76408919501724,-0.1002004766494,-0.696913905248391
28,0.560772040183189,1.52287323716448,-0.175585227953196,-0.909932738264649
29,1.65564007598051,0.389638053823202,-0.525701279586406,-0.515891112901961
30,1.60610342784948,0.196249177031436,-0.429582227473519,-0.517802561829634
31,1.2517034651108,0.308794026852866,-0.200145868636622,-0.21140563854741
32,0.0744658511407839,0.319650433768867,-0.0293408997141174,-0.112183007194928
33,0.0457951756605334,0.873346011683126,0.00467195455073597,-0.0849554990131795
34,0.0954408487747187,1.18660391662037,0.0374515289487052,-0.0782967536444318
35,0.0631705674456082,1.31284861759801,0.0355583710100953,-0.0916445820676974
36,0.0414941904709597,1.45344953434397,0.0231193010939187,-0.130058635002432
37,0.0249575219955127,1.58950064480271,0.00681685448430734,-0.16876393856487
38,-0.00568126550916221,1.66319544129537,-0.0192083763491131,-0.231704896349413
39,-0.0355531575718598,1.69069890503055,-0.0587578214793728,-0.362476229026824
40,0.0182904730109612,1.67983814867652,-0.0952427080535056,-0.561389573791735
41,0.284863611593088,1.60463433410014,-0.090320892363303,-0.767917584765938
42,1.29170769536403,1.57212009530878,0.152248667567475,-0.809527059488805
43,1.18773678727775,0.955682346271852,-0.0757706229162883,-0.59858348823454
44,0.325731836909837,0.570271352186383,-0.0450298298405889,-0.306296308315663
45,0.0162206813954525,0.12612597898535,0.0262960133610459,-0.0636845869844679
46,0.03927201070738,0.197330096883163,0.000550843978078281,-0.0268978085225776
47,0.0321957872100055,0.433972454368895,0.0361554774760495,-0.0329038385253876
48,0.0627961914621433,0.832594340239562,0.0296202949776383,-0.0558836011518585
49,0.101872663139348,1.27717061587433,0.0406977076995484,-0.0689030302650081
50,0.0652387509089993,1.51682251464316,0.0149211366235304,-0.103965865169627
51,0.0310348205805332,1.68423187208593,-0.0113560856312147,-0.120452552860637
52,0.0445930628002417,1.76009735616919,-0.0098135987313448,-0.115826330829504
53,0.0481095450317812,1.64673656085642,-0.0134918829752446,-0.120428637843105
54,0.0847500283122434,1.25539637501368,-0.013829317090735,-0.0941403615459715
55,0.0772146572907263,0.826207705445667,-0.0196902229628963,-0.049742515514727
56,0.130457487926076,0.596307234243883,-0.027453203517037,-0.0656776022760372
57,0.125380205401775,0.602594064479272,-0.0308265005898677,-0.0369220433934547
58,0.0748941715329964,0.994266267765181,-0.0988967337548986,-0.00187333142042717
59,0.0191109058591359,1.85758312547117,-0.0169775663538848,-0.118680286408495
60,0.0220675534096093,1.75481472940802,-0.0174122989720342,-0.126291003672446
61,0.0724965933440213,1.50124159816605,-0.01699257020869,-0.135156440245795
62,0.0797800637619002,1.02455957641738,-0.0238188022200794,-0.0794717390034388
63,0.105026387212415,0.691523205160705,-0.02633436772798,-0.0529024412162436
64,0.142484376807712,0.572281447429952,-0.0110798744526696,-0.0347352186046928
65,0.0828123471401305,0.728812801189085,-0.0948268625289354,-0.0258810864698663
66,0.0183536919741817,1.78549767266081,-0.0231046483154563,-0.0805776978349828
67,0.0297606809389971,1.83179960581242,-0.0130844225653251,-0.118999085057585
68,0.0440103543632005,1.67651827452895,-0.0165693192464483,-0.12801960256436
69,0.0922257171780859,1.27032936635248,-0.015546970556553,-0.106902159921151
70,0.0892181839654621,0.806964668907934,-0.0229935461471448,-0.0577996726142808
71,0.148353728237669,0.577879519007947,-0.0256817594118155,-0.0688387396016208
72,0.122368731388794,0.619058474581096,-0.0446043403080172,-0.0405371965807817
73,0.0814788185311469,1.05333040711754,-0.116704703100178,-0.00429701019200197
74,0.0199600103213033,1.86805065252387,-0.0185894460482776,-0.130023942555852
75,0.028070774734475,1.77914083555315,-0.0206421906191526,-0.146298121627475
76,0.104163570328908,1.55859048905893,-0.0235294350505473,-0.175725068836747
77,0.157761248530408,1.04618184212986,-0.0407223053120214,-0.129055904743382
78,0.20162298520308,0.612179514549971,-0.0506528250025706,-0.101627113953577
79,0.192568531552892,0.572336872651988,-0.0227561121499496,-0.0413352099131533
80,0.148754904564271,0.793620669310489,-0.142822025954626,-0.054876425390642
81,0.0208798326801384,1.83927592321154,-0.028621284357677,-0.204922888547054
82,0.0311454161956999,1.8473798448256,-0.030562879590077,-0.27326443589491
83,0.160642943680654,1.71993976333166,-0.0554884115442811,-0.417412077587705
84,0.145246319203974,0.981156392494376,-0.509041238553135,-0.657870915978727
85,0.994890045811714,0.337299446594056,-0.412255618974498,-0.525062778254834
86,1.65448907901927,0.437488629384094,-0.130020551845585,-0.376724443185041
87,0.89884901505764,0.399801155125012,-0.202338015378297,-0.316854711654636
88,0.211445489369641,1.47387899868184,-0.225996407574649,-0.514431387274522
89,0.254541331230066,1.69805240299207,-0.135127039612414,-0.834627909570956
90,0.960076057716435,0.779822320948102,-0.626122994827542,-0.865545547799806
91,1.52217811789481,0.177387276970684,-0.459640857979069,-0.578704715121642
92,1.87318677493867,0.42503402633556,-0.152624037576024,-0.437921542594991
93,1.54434606426851,0.371483388201144,-0.0269067906909944,-0.273174864488618
94,0.830663979197077,0.272379601521103,-0.303989604205457,-0.388117673344482
95,0.0710773233980164,1.79760742118381,-0.0876973300954091,-0.536724281882301
96,0.204127767160274,1.72374441259875,-0.122435852549589,-0.823073901474981
97,1.04647571928689,0.957348838416644,-0.443012528490064,-0.885981006717945
98,1.52273833521962,0.151102457857335,-0.492619373714669,-0.578205851587438
99,1.7857458536262,0.404085612135165,-0.1521579390098,-0.461860582111807
100,1.73178994834875,0.402760925686292,-0.0229683836586412,-0.307213294349404
101,0.871293561442949,0.25205363719619,-0.289840807895615,-0.389875596171948
