level,RP,tau,E,theta
ESU,rec4n,1,6,4
ESU,rec5n,1,7,4
Imnaha,rec4n,1,6,1.75
Imnaha,rec5n,1,8,2
Middle Fork Salmon,rec4n,1,6,4
Middle Fork Salmon,rec5n,1,7,4
Upper Salmon,rec4n,1,4,1.75
Upper Salmon,rec5n,1,5,4
