year,pdo-jan,pdo-feb,pdo-mar,pdo-apr,pdo-may,pdo-jun,pdo-jul,pdo-aug,pdo-sep,pdo-oct,pdo-nov,pdo-dec,pdo-yr,pdo-win,pdo-spr,pdo-sum,pdo-fal,npgo-jan,npgo-feb,npgo-mar,npgo-apr,npgo-may,npgo-jun,npgo-jul,npgo-aug,npgo-sep,npgo-oct,npgo-nov,npgo-dec,npgo-yravg,npgo-yrsum,npgo-win,npgo-spr,npgo-sum,npgo-fal,upw-jan,upw-feb,upw-mar,upw-apr,upw-may,upw-jun,upw-jul,upw-aug,upw-sep,upw-oct,upw-nov,upw-dec,upw-yr,upw-win,upw-spr,upw-sum,upw-fal,up48-STI,up48-FTI,up48-LUSI,up48-TUMI,up48-TDMI,arc-win,arc-spr,arc-sum,arc-fal
1988,0.28,0.49,0.52,0.34,0.26,0.11,-0.27,-0.91,-1.01,-0.45,-0.14,-0.15,-0.0775,0.56,0.373333333,-0.356666667,-0.533333333,1.105185,0.79684971,0.96814878,1.5734973,1.7784138,1.7426903,1.7248738,1.3928516,1.31624,1.4868884,1.2427056,0.75529687,1.323636763,15.88,0.864785787,1.44001996,1.620138567,1.348611333,-152,-16,-12,1,-6,12,54,55,15,-5,-90,-44,-15.66666667,-94.33333333,-5.666666667,40.33333333,-26.66666667,155,267,113,913.38,-10793,0.013210228,-0.0596399,-0.220489463,-0.235127068
1989,-1.26,-1.43,-1.25,-0.32,-0.17,0.03,0.47,-0.58,-0.65,-0.57,-0.78,-0.11,-0.551666667,-0.946666667,-0.58,-0.026666667,-0.666666667,1.3125811,0.66174412,0.92933697,0.78376127,0.58351058,0.5221062,1.2640097,0.66697628,0.65426137,0.44178705,-0.30061121,-0.17257603,0.612240617,7.34,0.90987403,0.765536273,0.817697393,0.265145737,-27,-67,-72,0,34,31,31,48,21,-12,-20,-43,-6.333333333,-46,-12.66666667,36.66666667,-3.666666667,96,276,181,3743,-10081,-0.339264697,0.060844575,0.174606448,0.121083998
1990,-0.39,-1.24,-1.24,-0.2,-0.42,-0.32,-0.35,-0.45,-0.32,-1.19,-1.93,-2.23,-0.856666667,-0.58,-0.62,-0.373333333,-1.146666667,0.2687734,-0.28017566,0.65271548,0.24156556,-0.096055435,-0.065433778,-0.25829866,-0.33040579,-0.15925639,-0.12022116,-0.73895202,-1.532809,-0.201546121,-2.4135,-0.061326097,0.266075202,-0.218046076,-0.339476523,-35,-25,-12,7,14,12,61,15,16,-22,-29,-16,-1.166666667,-34.33333333,3,29.33333333,-11.66666667,159,275,117,2465.5,-11546,0.006107249,0.039425113,0.357316227,0.252725717
1991,-1.72,-1.09,-1.16,-1.63,-1.7,-2.36,-1.59,-0.65,0.22,0.24,0.43,-0.19,-0.933333333,-1.68,-1.496666667,-1.533333333,0.296666667,-0.74421842,-0.30453129,-0.80698494,-0.20643753,-0.059529254,-0.38776968,-0.4794923,-0.57405316,-0.94857557,-1.0900901,-0.17231725,-0.21297704,-0.498914711,-5.9865,-0.86051957,-0.357650575,-0.48043838,-0.736994307,-45,-82,-1,2,27,31,27,9,17,1,-82,-70,-13.83333333,-47.66666667,9.333333333,22.33333333,-21.33333333,99,218,120,2090.1,-17205,0.045696271,-0.10719802,-0.294367106,0.125350233
1992,0.06,0.11,0.08,0.48,1.12,1.14,1.45,0.84,0.4,1.16,1.24,0.31,0.699166667,-0.006666667,0.56,1.143333333,0.933333333,0.49307736,-0.45653143,-0.82080177,-1.4336134,-1.7956172,-1.3506516,-1.4624325,-1.2474734,-0.94662956,-0.96898904,-1.2806748,-1.8686891,-1.09491887,-13.141,-0.05881037,-1.35001079,-1.353519167,-1.065431133,-171,-125,0,-8,30,42,52,28,8,-13,-53,-46,-21.33333333,-122,7.333333333,40.66666667,-19.33333333,117,266,150,3770.6,-18025,0.037440882,0.490183583,0.596018105,0.352065735
1993,-0.28,0.05,0.23,0.93,1.66,1.96,1.37,1.79,1.06,1.24,1.02,0.65,0.973333333,0.026666667,0.94,1.706666667,1.106666667,-2.8169835,-2.1408178,-1.7419109,-0.75883626,-1.0894275,-1.6821039,-1.6785552,-1.5143229,-2.0474347,-2.3542966,-2.9986692,-2.0005526,-1.901992588,-22.819,-2.2754968,-1.196724887,-1.624994,-2.466800167,-102,-82,-39,-55,-2,23,38,26,20,-2,-13,-99,-23.91666667,-76.66666667,-32,29,1.666666667,161,280,120,2554.8,-12287,0.066615085,0.446072639,0.513727288,0.278170569
1994,0.86,0.4,0.27,0.52,0.46,-0.08,-1.02,-0.98,-1.54,-1.1,-2.04,-2.16,-0.534166667,0.636666667,0.416666667,-0.693333333,-1.56,-1.8540143,-1.9786652,-1.8557886,-1.4470739,-0.30135894,-0.61160343,-0.71112965,-0.85876787,-1.1048639,-1.1107256,-1.6884391,-1.0167549,-1.211598783,-14.543,-1.9444107,-1.201407147,-0.727166983,-1.301342867,-38,-55,-15,-1,7,11,58,10,3,-7,-34,-153,-17.83333333,-64,-3,26.33333333,-12.66666667,166,291,126,1850.2,-21819,0.375463275,0.360792743,0.318088416,-0.027792794
1995,-0.87,0.09,0.36,0.41,0.69,0.85,0.8,-0.35,1.02,0.46,0,0.38,0.32,-0.98,0.486666667,0.433333333,0.493333333,-0.49903343,-1.5608722,-2.0546501,-1.8249588,-1.5042438,-1.0479894,-1.4994407,-1.0060149,-0.89392105,-0.51771379,-0.2774263,0.21576192,-1.039208546,-12.462,-1.02555351,-1.794617567,-1.184481667,-0.56302038,-314,-31,-58,-2,29,9,37,12,0,-15,-73,-180,-48.83333333,-166,-10.33333333,19.33333333,-29.33333333,100,263,164,2800.3,-17901,-0.280814344,0.181005307,0.135559121,0.265822192
1996,0.94,0.92,0.83,1.33,1.93,0.91,0.48,-0.72,0.03,0.3,0.36,0.01,0.61,0.746666667,1.363333333,0.223333333,0.23,-0.63897712,-1.0529048,-1.1487637,-0.43611656,-1.2747659,-1.0600342,-0.88413569,-0.74825013,-0.93392844,-1.0410775,-1.1001672,-1.3549181,-0.972836612,-11.661,-0.49204,-0.953215387,-0.89747334,-1.025057713,-41,-91,-6,-61,14,18,63,26,8,-15,-30,-62,-14.75,-104,-17.66666667,35.66666667,-12.33333333,142,275,134,3893.4,-13553,0.50961042,0.664384361,0.331541892,0.103066505
1997,0.42,0.28,0.41,0.69,1.38,2.33,1.38,2.08,1.6,1.72,1.42,0.97,1.223333333,0.236666667,0.826666667,1.93,1.58,-1.6402249,-1.1130951,-0.61802828,-0.5061382,-0.87719416,-0.93839334,-0.77236159,-0.7858272,-0.48147621,-0.59425899,0.17402893,0.26068165,-0.657690616,-7.887,-1.3694127,-0.667120213,-0.832194043,-0.300568757,-55,-10,-55,-4,0,1,25,3,-6,-24,-139,-103,-30.58333333,-42.33333333,-19.66666667,9.666666667,-56.33333333,155,232,78,1051.5,-27600,0.193926425,0.516392014,1.241186385,0.756686256
1998,1.12,1.51,1.33,0.05,-0.8,-0.7,-1.23,-0.83,-1.54,-2.23,-1.04,-1.05,-0.450833333,1.2,0.193333333,-0.92,-1.603333333,0.52791423,1.9000587,0.89331784,0.52151313,0.27758158,0.11902247,0.39316174,0.27265688,0.044480388,0.098751134,0.71735091,0.76883039,0.544553283,6.5353,0.896218193,0.564137517,0.261613697,0.286860811,-186,-189,-8,3,15,60,24,41,23,-43,-135,-59,-37.83333333,-159.3333333,3.333333333,41.66666667,-51.66666667,83,275,193,3342,-29687,0.370556194,0.270525195,0.036929395,-0.266513578
1999,-0.64,-0.94,-1.09,-1.76,-2.2,-2.34,-1.94,-1.84,-2.23,-2.49,-2.15,-1.77,-1.7825,-1.116666667,-1.683333333,-2.04,-2.29,1.0828257,2.3041594,1.9742975,1.6464381,1.6045933,1.9053233,1.3811213,1.4334654,1.3049656,1.1788208,1.3205504,1.0528054,1.515780517,18.17,1.38527183,1.7417763,1.573303333,1.268112267,-55,-280,-96,7,18,11,44,20,22,-13,-118,-57,-41.41666667,-131.3333333,-23.66666667,25,-36.33333333,109,277,169,3550.6,-21012,-0.396300294,-0.896252137,-0.91383573,-0.779979069
2000,-2.13,-1.22,-0.65,-0.64,-0.86,-0.66,-1.45,-1.74,-1.55,-1.67,-1.06,0.06,-1.130833333,-1.096666667,-0.716666667,-1.283333333,-1.426666667,1.4045384,2.1235311,2.1492677,2.3652705,2.220292,2.1020662,1.655785,1.3516272,1.3801795,1.6981881,2.0145948,2.164995,1.885861292,22.62,1.5269583,2.2449434,1.703159467,1.697654133,-62,-102,-31,-5,3,23,25,33,1,-18,-60,-107,-25,-90.33333333,-11,27,-25.66666667,166,288,123,2014.6,-18281,-0.557699114,-0.225300096,0.090775407,-0.276632073
2001,0.64,0.05,-0.3,-1.23,-1.1,-1.28,-2.31,-1.86,-2.13,-1.87,-1.17,-0.99,-1.129166667,-0.1,-0.876666667,-1.816666667,-1.723333333,2.8619328,2.9560468,2.388775,2.2039413,1.9538953,2.349303,1.5004872,1.9150242,1.8929954,1.1619115,1.7645249,2.0194831,2.080693375,24.96,2.660991533,2.182203867,1.9216048,1.606477267,-127,-43,-10,-2,16,25,68,2,3,-9,-145,-130,-29.33333333,-100,1.333333333,31.66666667,-50.33333333,120,232,113,2769.6,-22850,-0.056419415,-0.325571911,-0.196391989,-0.34946449
2002,-0.34,-1.29,-1.13,-1.23,-1.57,-1.27,-0.97,-0.15,-0.38,-0.25,1.04,1.63,-0.4925,-7.40E-17,-1.31,-0.796666667,0.136666667,1.8641573,2.1773568,1.8982763,0.89742216,1.102573,1.6053913,1.3822965,0.81184355,0.82441109,0.82363712,1.6592152,2.6365472,1.47359396,17.687,2.0203324,1.29942382,1.26651045,1.102421137,-69,-47,-6,9,10,18,48,40,4,0,-137,-220,-29.16666667,-112,4.333333333,35.33333333,-44.33333333,106,244,139,2760.2,-27586,-0.429384941,-0.343471747,-0.017439412,0.137312966
2003,1.58,1.32,1.08,0.32,0.06,-0.51,0.11,0.4,-0.46,0.54,-0.19,-0.41,0.32,0.83,0.486666667,0,-0.036666667,1.9691832,0.99256558,1.4907114,1.1017217,0.9192588,0.77769152,1.2024408,0.78228794,0.8692253,1.286991,-0.11436786,0.22437689,0.958507189,11.501,1.06204189,1.170563967,0.920806753,0.680616147,-235,-4,-67,-14,8,37,30,29,3,-34,-23,-228,-41.5,-155.6666667,-24.33333333,32,-18,115,248,134,1946.8,-24397,0.459754833,0.34075584,0.495117412,0.401184831
2004,-0.42,-0.11,-0.13,-0.2,0.23,-0.49,-0.24,0.02,-0.17,-0.76,-1.24,-0.74,-0.354166667,-0.423333333,-0.033333333,-0.236666667,-0.723333333,0.26501486,0.66722957,0.38293237,0.12524921,0.20735337,0.77647507,0.41156805,0.68538324,0.37640228,0.042904182,-0.44177726,-0.98521195,0.209460249,2.5119,-0.01765584,0.23851165,0.624475453,-0.007490266,-122,-110,-17,0,15,18,30,10,3,-2,-14,-22,-17.58333333,-84.66666667,-0.666666667,19.33333333,-4.333333333,112,251,140,2304.2,-10108,0.042688825,0.399980405,0.890611382,0.358863335
2005,-0.13,0.17,0.69,0.21,1.06,0.56,-0.2,-0.61,-1.11,-2.05,-1.84,-0.1,-0.279166667,-0.02,0.653333333,-0.083333333,-1.666666667,-1.658495,-1.4948708,-1.4866191,-1.6856388,-0.78952824,-1.2838288,-1.6634296,-1.1301204,-1.5725517,-0.88912168,-1.6606414,-1.2525514,-1.38061641,-16.559,-1.468639067,-1.32059538,-1.359126267,-1.374104927,-74,0,-8,-13,-4,16,30,41,24,-50,-24,-77,-11.58333333,-50.33333333,-8.333333333,29,-16.66666667,143,270,128,2763.3,-16829,0.153145955,0.640142128,0.753938463,0.014943703
2006,0.54,0.38,-0.72,-0.55,-0.45,-0.04,0.12,-1.13,-1.75,-0.6,-0.83,-0.54,-0.464166667,0.126666667,-0.573333333,-0.35,-1.06,-0.64599122,-1.0694347,-0.70992726,-0.56588893,-0.12194259,-0.12747487,-0.49903284,-0.36663439,-0.33957171,-1.0490722,-0.99593322,-0.15556898,-0.553872743,-6.649,-0.623664967,-0.465919593,-0.331047367,-0.794859043,-112,-2,-47,0,16,34,54,77,18,18,-75,-82,-8.416666667,-65.33333333,-10.33333333,55,-13,109,304,196,5628.2,-11371,0.160634203,-0.170944647,0.11486941,-0.078366115
2007,-0.63,-0.63,-1.05,-0.56,-0.53,-0.37,0.16,-0.15,-1.04,-2.24,-1.38,-0.92,-0.778333333,-0.726666667,-0.713333333,-0.12,-1.553333333,-0.41231314,-0.13701057,-0.54937636,0.26062231,0.69161135,1.2322548,1.2293291,1.4400573,0.90904047,1.268781,0.72848516,0.4576465,0.59326066,7.12,-0.03055907,0.134285767,1.300547067,0.968768877,-17,-42,-19,-7,32,7,12,18,12,-22,-16,-43,-7.083333333,-34,2,12.33333333,-8.666666667,117,271,155,2696.1,-11118,-0.356325073,-0.49370775,0.064572051,-0.359404957
2008,-1.47,-1.33,-1.26,-2,-1.93,-2.11,-2.17,-2,-2.02,-1.8,-1.57,-1.31,-1.7475,-1.37,-1.73,-2.093333333,-1.796666667,0.55559535,1.1353947,1.3742118,1.3956119,1.7381006,1.2784121,1.4275373,2.1438271,2.2271197,1.7656263,1.9696127,0.44878735,1.454986408,17.475,0.713259133,1.502641433,1.616592167,1.9874529,-29,-13,-12,6,16,30,29,8,7,-5,-48,-12,-1.916666667,-18,3.333333333,22.33333333,-15.33333333,88,267,180,2961.1,-7264.4,-0.623958032,-0.781107377,-0.487957437,-0.556527412
2009,-1.7,-1.76,-2.03,-2.28,-1.45,-0.85,-0.88,-0.5,0.19,-0.23,-1.01,-0.52,-1.085,-1.326666667,-1.92,-0.743333333,-0.35,0.72178141,0.90853572,0.33069035,0.41563613,0.55442008,0.36989138,0.55998986,0.71776492,0.98445633,1.1541453,1.0548407,1.063178,0.736277515,8.824,0.89783171,0.433582187,0.549215387,1.064480777,-11,-15,-3,14,9,24,32,13,0,-12,-109,-80,-11.5,-35.33333333,6.666666667,23,-40.33333333,83,244,162,2531,-21989,-0.585674311,-0.669568086,0.142139099,-0.199538592
2010,0.06,0.16,-0.21,-0.27,-0.35,-0.93,-2.17,-2.44,-2.44,-1.61,-1.58,-2,-1.148333333,-0.593333333,-0.276666667,-1.846666667,-1.876666667,2.0640119,1.8397684,1.6540684,1.1788223,1.8660236,1.2382043,1.1456281,1.0779035,1.0036749,1.6059417,0.98803369,0.77962672,1.370142293,16.448,1.561135673,1.566304767,1.153911967,1.199216763,-258,-111,-43,1,12,17,59,17,-6,-41,-39,-159,-45.91666667,-176,-10,31,-28.66666667,97,248,152,1856.4,-19190,0.016973504,-0.178637138,-0.55773872,-0.376077122
2011,-1.73,-1.45,-1.29,-1.26,-0.96,-1.32,-2.5,-2.6,-2.63,-1.95,-2.96,-2.32,-1.914166667,-1.833333333,-1.17,-2.14,-2.513333333,0.32143704,0.54944886,1.2026043,0.59585684,1.3947862,1.1129413,1.0354089,1.036257,1.3281108,1.2045161,0.37417793,0.13153608,0.857256779,10.282,0.33414066,1.06441578,1.061535733,0.968934943,-22,-11,-123,1,5,17,16,18,-5,-9,-48,-4,-13.75,-12.33333333,-39,17,-20.66666667,133,258,126,959.53,-18140,-0.230900381,-0.245764277,-0.53660365,-0.520385227
2012,-1.72,-1.26,-1.59,-0.94,-2,-1.42,-2.33,-2.5,-3.04,-1.22,-0.59,-1.25,-1.655,-1.41,-1.51,-2.083333333,-1.616666667,0.83337844,0.86243405,1.1165134,1.9264089,1.6274147,1.938326,1.8605661,1.7305455,1.3583948,1.8664464,1.401837,1.2003042,1.476880791,17.735,0.96537223,1.556779,1.843145867,1.542226067,-77,-50,-57,-15,11,2,39,11,18,-14,-88,-53,-22.75,-60,-20.33333333,17.33333333,-28,121,285,165,1488.9,-9930.6,-0.497541042,-0.579058133,-0.813698416,-0.574507913
2013,-0.94,-1.31,-1.17,-0.62,-0.41,-1.26,-1.77,-1.77,-1.09,-1.9,-1.18,-1.15,-1.214166667,-1.133333333,-0.733333333,-1.6,-1.39,1.2303061,1.2033246,0.64198749,0.4757454,0.85171232,0.72592328,0.45082111,0.56139213,0.38985903,-0.14750892,-0.80505602,-1.452561,0.343828793,4.125,0.327023233,0.656481737,0.57937884,-0.187568637,-6,-14,-6,17,2,5,84,2,-3,2,-10,-2,5.916666667,-7.333333333,4.333333333,30.33333333,-3.666666667,100,234,135,1683.2,-8677.4,-0.415322958,-0.210634505,0.408843698,0.18221097
2014,-0.59,-0.42,0.29,0.42,1.1,-0.32,0.15,0,0.58,1.34,1.35,1.96,0.488333333,0.316666667,0.603333333,-0.056666667,1.09,-0.38996919,-0.26724356,-0.45401739,-0.6174035,0.22783033,-0.41683559,-0.13326054,-0.54494684,-0.77647484,0.42525704,0.31181371,-0.35483813,-0.249174042,-2.989,-0.337350293,-0.281196853,-0.365014323,-0.013134697,-17,-72,-34,-14,2,24,34,35,-1,-62,-49,-88,-20.16666667,-59,-15.33333333,31,-37.33333333,139,258,120,1861.8,-13469,0.393420675,0.808525154,1.246966174,1.341410888
2015,1.71,1.76,1.53,0.95,0.31,0.72,1.27,0.75,0.85,0.76,0.17,0.53,0.9425,1.333333333,0.93,0.913333333,0.593333333,-0.55025703,-1.2726712,-1.3949461,-1.3779456,-0.71954145,-1.2491977,-1.4735073,-1.9276433,-2.10385,-1.3062118,-2.2533168,-1.1054027,-1.394540915,-16.73,-0.97611031,-1.164144383,-1.5501161,-1.887792867,-49,-27,-18,-1,45,56,35,17,1,-18,-9,-143,-9.25,-73,8.666666667,36,-8.666666667,120,239,120,2481.3,-22688,1.365662359,1.320815543,1.58903502,1.327797429
2016,0.81,1.26,1.57,1.65,1.49,0.82,0.18,-0.88,-1.07,-0.61,0.86,0.57,0.554166667,0.88,1.57,0.04,-0.273333333,0.93888757,0.22969097,0.47342201,-0.39984827,-0.68192827,-0.95777129,-0.48643932,-0.54363312,-0.77327726,0.3527754,1.1604373,-1.540838,-0.18571019,-2.228,-0.124086487,-0.202784843,-0.662614577,0.246645147,-201,-125,-91,-2,38,24,26,35,4,-112,-186,-23,-51.08333333,-116.3333333,-18.33333333,28.33333333,-98,114,240,127,2238.8,-21226,0.843699657,1.117906584,1.201838532,0.882903184
2017,0.13,0.07,0.15,0.55,0.26,0.18,-0.49,-0.63,-0.26,-0.62,-0.44,-0.11,-0.100833333,0.03,0.32,-0.313333333,-0.44,-0.26638853,-0.67060799,-0.89422474,-0.11263396,-0.45770927,-0.2945526,-0.44498774,-0.53107789,-0.5257936,-1.4104447,-2.0575759,-2.6851348,-0.86259431,-10.359,-1.207377107,-0.488189323,-0.42353941,-1.3312714,-119,-39,-62,-37,10,11,39,32,2,-3,-137,-28,-27.58333333,-62,-29.66666667,27.33333333,-46,170,259,90,1379.3,-14562,0.388705682,0.498261014,0.679019469,0.511656865
2018,0.34,-0.14,-0.61,-0.88,-0.69,-0.85,-0.09,-0.44,-0.47,-0.74,-0.78,-0.09,-0.453333333,0.036666667,-0.726666667,-0.46,-0.663333333,-1.4850568,-2.2327564,-2.0429687,-2.0587792,-1.9215388,-1.934415,-1.5719998,-2.1246452,-2.3284792,-2.3381128,-1.7539675,-1.0830255,-1.906312075,-23.72,-1.600279567,-2.007762233,-1.87702,-2.1401865,-185,9,-8,-14,29,9,43,35,0,-9,-48,-130,-22.41666667,-102,2.333333333,29,-19,105,249,145,1580.8,-15483,0.636574421,0.620621837,0.684612674,1.04834101
