,pod,all,expected.deaths,death.index,death.diff,expected.births,birth.index,birth.diff,death.diff.lag1,death.diff.lag2,birth.diff.lag1,birth.diff.lag2
110,L001,48,1.777,0,-1.777,2.013,0,-2.013,-0.068,-3.105,0.103,3.103
111,L001,48,2.068,0.967117988,-0.068,1.897,1.054296257,0.103,-3.105,-3.161,3.103,0.15
112,L001,48,3.105,0,-3.105,1.897,2.635740643,3.103,-3.161,-2.414,0.15,-0.803
113,L001,53,3.161,0,-3.161,1.85,1.081081081,0.15,-2.414,-0.706,-0.803,1.266
114,L001,55,2.414,0,-2.414,1.803,0.55463117,-0.803,-0.706,0.52,1.266,-1.85
115,L001,56,2.706,0.7390983,-0.706,1.734,1.730103806,1.266,0.52,1.247,-1.85,2.219
116,L001,57,2.48,1.209677419,0.52,1.85,0,-1.85,1.247,0.932,2.219,0.15
117,L001,54,2.753,1.452960407,1.247,1.781,2.245929253,2.219,0.932,0.928,0.15,-1.897
118,L001,54,3.068,1.303780965,0.932,1.85,1.081081081,0.15,0.928,1.461,-1.897,-1.897
119,L001,52,2.072,1.447876448,0.928,1.897,0,-1.897,1.461,0.088,-1.897,0.103
120,L001,49,1.539,1.949317739,1.461,1.897,0,-1.897,0.088,3.099,0.103,-1.013
121,L001,46,1.912,1.046025105,0.088,1.897,1.054296257,0.103,3.099,-1.521,-1.013,-0.922
122,L001,46,1.901,2.630194634,3.099,2.013,0.496770989,-1.013,-1.521,1.929,-0.922,0.172
123,L001,42,1.521,0,-1.521,1.922,0.520291363,-0.922,1.929,-1.705,0.172,-0.828
124,L001,43,2.071,1.93143409,1.929,1.828,1.094091904,0.172,-1.705,-1.724,-0.828,-0.828
125,L001,41,1.705,0,-1.705,1.828,0.547045952,-0.828,-1.724,-0.195,-0.828,0.987
126,L001,42,1.724,0,-1.724,1.828,0.547045952,-0.828,-0.195,2.022,0.987,-0.944
127,L001,43,2.195,0.911161731,-0.195,2.013,1.490312966,0.987,2.022,-0.953,-0.944,0.194
128,L001,44,1.978,2.022244692,2.022,1.944,0.514403292,-0.944,-0.953,1.849,0.194,-0.665
129,L001,41,1.953,0.51203277,-0.953,1.806,1.107419712,0.194,1.849,-0.823,-0.665,0.52
130,L001,42,2.151,1.859600186,1.849,1.665,0.600600601,-0.665,-0.823,0.42,0.52,2.52
131,L001,39,1.823,0.548546352,-0.823,1.48,1.351351351,0.52,0.42,-2.247,2.52,-0.342
132,L001,40,2.58,1.162790698,0.42,1.48,2.702702703,2.52,-2.247,2.054,-0.342,-0.342
133,L001,41,2.247,0,-2.247,1.342,0.745156483,-0.342,2.054,1.448,-0.342,-1.458
134,L001,42,1.946,2.055498458,2.054,1.342,0.745156483,-0.342,1.448,1.604,-1.458,-0.458
135,L001,39,1.552,1.932989691,1.448,1.458,0,-1.458,1.604,-0.93,-0.458,1.611
136,L001,36,1.396,2.148997135,1.604,1.458,0.685871056,-0.458,-0.93,-0.909,1.611,-1.32
137,L001,34,1.93,0.518134715,-0.93,1.389,2.159827214,1.611,-0.909,-1.404,-1.32,-1.273
138,L001,36,1.909,0.523834468,-0.909,1.32,0,-1.32,-1.404,-0.422,-1.273,-1.226
139,L001,35,1.404,0,-1.404,1.273,0,-1.273,-0.422,-1.53,-1.226,-0.342
140,L001,35,1.422,0.70323488,-0.422,1.226,0,-1.226,-1.53,NA,-0.342,NA
141,L001,34,1.53,0,-1.53,1.342,0.745156483,-0.342,NA,NA,NA,NA
