year,pdo-yr,pdo-win,pdo-spr,pdo-sum,pdo-fal,npgo-yravg,npgo-yrsum,npgo-win,npgo-spr,npgo-sum,npgo-fal,upw-yr,upw-win,upw-spr,upw-sum,upw-fal,upw-sti,upw-fti,upw-lusi,upw-tumi,upw-tdmi,arc-win,arc-spr,arc-sum,arc-fal
1968,-0.1875,-0.546666667,-0.523333333,0.173333333,0.013333333,-0.850601763,-10.211,-0.541789597,-1.016589457,-1.006382673,-0.625821637,-39.58333333,-111,-2.333333333,33.66666667,-66.66666667,87,276,190,5043.6,-25518,-0.230163291,0.060227303,0.578570952,-0.03701065
1969,-0.394166667,-0.773333333,-1.11,-0.246666667,0.086666667,-0.387628509,-4.649,-1.388403747,-0.335863331,-0.57957761,0.087960005,-33.58333333,-88,-12.66666667,45.66666667,-43,117,258,142,3948.7,-20161,-0.298990054,-0.512592143,-0.060797749,-0.327196496
1970,-0.415833333,1.026666667,0.216666667,-0.946666667,-1.283333333,0.061043154,0.7315,0.204755103,-0.050076183,0.35219072,0.136890333,-17.16666667,-120,13,37.33333333,-29,75,286,212,4752.4,-17111,0.04371207,-0.088696408,-0.555201363,-0.37902819
1971,-1.3425,-1.266666667,-1.7,-1.466666667,-0.663333333,0.381984271,4.5836,-0.071182258,0.600884987,0.636532167,0.347181687,-7.75,-50,-9,20,-20.66666667,103,242,140,2492.9,-9269.3,-0.532571636,-0.959956493,-0.935216983,-1.093681804
1972,-1.168333333,-1.96,-1.843333333,-1.216666667,-0.11,-0.659303726,-7.914,-0.322304651,-0.707543147,-0.50358629,-0.859019803,-15.41666667,-37,-8.666666667,23,-23.66666667,103,303,201,2784.1,-13978,-1.234347514,-0.799153531,-0.435185503,-0.595541561
1973,-1.184166667,-0.403333333,-1.306666667,-1.503333333,-1.336666667,0.126585564,1.5187,-0.438000432,0.043908203,0.33506073,0.198195357,-18.83333333,-91,8.333333333,32.33333333,-12.33333333,80,257,178,3541.7,-14056,-0.530981915,-0.561216996,-0.774937296,-0.797396975
1974,-0.375,-1.09,-0.923333333,-0.326666667,0.416666667,-0.009310217,-0.1072,-0.350173927,-0.059244828,0.285837753,-0.039184685,-11,-60.33333333,-7.333333333,31.33333333,-15.66666667,98,294,197,3118.9,-11021,-0.481572868,-0.533318635,-0.42109394,-0.01720136
1975,-1.460833333,-0.453333333,-1.68,-1.44,-1.68,0.798500537,9.583,0.779842527,0.693643387,0.664931843,0.934524873,-14.16666667,-64.66666667,9.333333333,39.33333333,-51.33333333,81,272,192,4215,-13744,-0.44724131,-0.915837154,-1.137565823,-1.019243033
1976,-0.1675,-1.203333333,-1.296666667,-0.026666667,0.97,1.86321135,22.36,1.113429867,2.098994767,2.2568419,1.9000603,-14.08333333,-48.66666667,-7,15,-14,101,278,178,1526.9,-9257.6,-0.822049423,-0.905070131,-0.812862786,-0.423847285
1977,0.015833333,1.253333333,-0.023333333,-0.06,-0.663333333,1.249270341,14.984,1.528476967,1.389288467,1.081795227,1.156053817,-14.75,-65.66666667,6,35,-31,71,258,188,3446.2,-17482,0.235410754,-0.239288952,0.0072301,-0.045558499
1978,0.014166667,0.39,0.903333333,-0.79,-0.3,0.504466636,6.043,1.104535353,0.552076593,0.55797851,0.459728407,-15.25,-101,3.333333333,29.66666667,-10.66666667,96,234,139,3059,-11139,0.04315625,0.193244931,-0.164092307,-0.116349909
1979,0.07,-0.75,-0.106666667,0.133333333,0.8,-0.737188575,-8.843,-0.62114414,-0.81500131,-1.073985963,-0.62992959,-27.08333333,-55,10.66666667,47.66666667,-68.33333333,103,243,141,4127.2,-28241,-0.217950721,-0.043264478,0.21029023,0.578819752
1980,0.251666667,0.233333333,0.63,-0.406666667,0.443333333,-0.749107276,-8.9808,-1.388875897,-0.475883983,-0.918769883,-0.299145241,-32.16666667,-142,9.666666667,54.33333333,-59.66666667,110,268,159,5139.9,-23995,0.367015377,0.151066227,-0.256154879,-0.306184844
1981,0.785833333,0.93,1.13,0.79,0.213333333,-0.221840562,-2.6652,-0.53494929,-0.372529247,-0.404988956,0.157134343,-39,-146.6666667,-3,36.33333333,-46.33333333,174,231,58,1921.8,-18824,0.228936256,0.381457142,0.282842244,0.097457126
1982,-0.2475,0.216666667,-0.72,-0.333333333,0.006666667,-0.686691381,-8.243,-0.184069173,-0.894959713,-0.638386033,-0.777458467,-6.666666667,-66.33333333,19.33333333,49.33333333,-31,107,276,170,3132.3,-22105,0.048500715,-0.200775875,-0.47813039,-0.278479457
1983,1.186666667,0.476666667,1.266666667,1.78,0.696666667,-0.092064694,-1.1055,0.281384767,-0.344720187,-0.045177634,-0.11195819,-45.91666667,-152.6666667,-4.333333333,22.66666667,-39.33333333,93,288,196,2151.8,-21352,0.014577138,0.324881225,0.109153091,0.127248559
1984,0.594166667,1.46,1.136666667,-0.163333333,0.346666667,0.620750037,7.448,-0.16404819,0.953559627,0.507168573,0.876282407,-22.25,-103.6666667,-14.66666667,44,-47.33333333,146,268,123,2425.3,-13986,0.432952148,0.309368761,0.151044351,0.042286628
1985,0,0.636666667,-0.556666667,0.183333333,-0.193333333,-0.393901047,-4.7204,0.170517743,0.23567779,-0.032992801,-1.304480223,-10.41666667,-51.66666667,6,55.66666667,-9.333333333,123,280,158,4414.6,-20022,0.028948135,-0.345293804,-0.218204901,-0.158792609
